"Reservoir","Site","Date","WaterLevel_m"
"BVR",50,2020-06-22,12.2352494176645
"BVR",50,2020-06-23,12.23082610613
"BVR",50,2020-06-24,12.2233790068077
"BVR",50,2020-06-25,12.2264132462704
"BVR",50,2020-06-26,12.2328766365972
"BVR",50,2020-06-27,12.2163699302778
"BVR",50,2020-06-28,12.1989751529167
"BVR",50,2020-06-29,12.17970485875
"BVR",50,2020-06-30,12.1589282263194
"BVR",50,2020-07-01,12.1370067565278
"BVR",50,2020-07-02,12.099267544
"BVR",50,2020-07-03,12.0585203546528
"BVR",50,2020-07-04,12.0334715507639
"BVR",50,2020-07-05,12.0088593582639
"BVR",50,2020-07-06,11.9837783227778
"BVR",50,2020-07-07,11.9567040708333
"BVR",50,2020-07-08,11.9284802735417
"BVR",50,2020-07-09,11.9009133489583
"BVR",50,2020-07-10,11.8755383902778
"BVR",50,2020-07-11,11.8620652204861
"BVR",50,2020-07-12,11.8321931210417
"BVR",50,2020-07-13,11.8056232754861
"BVR",50,2020-07-14,11.7729466649306
"BVR",50,2020-07-15,11.7381322665278
"BVR",50,2020-07-16,11.705388223125
"BVR",50,2020-07-17,11.6751264472917
"BVR",50,2020-07-18,11.6425477628472
"BVR",50,2020-07-19,11.6079346489583
"BVR",50,2020-07-20,11.5725370397222
"BVR",50,2020-07-21,11.5396692849306
"BVR",50,2020-07-22,11.5139030563889
"BVR",50,2020-07-23,11.5136364977622
"BVR",50,2020-07-24,11.5341628968056
"BVR",50,2020-07-25,11.5023439364583
"BVR",50,2020-07-26,11.4671951986111
"BVR",50,2020-07-27,11.4318389472222
"BVR",50,2020-07-28,11.39546272875
"BVR",50,2020-07-29,11.3620992592361
"BVR",50,2020-07-30,11.3285172667361
"BVR",50,2020-07-31,11.3144821082639
"BVR",50,2020-08-01,11.2865544795139
"BVR",50,2020-08-02,11.2644327392361
"BVR",50,2020-08-03,11.242440939375
"BVR",50,2020-08-04,11.2220122633333
"BVR",50,2020-08-05,11.2016324054861
"BVR",50,2020-08-06,11.1935729830986
"BVR",50,2020-08-07,11.1760886111806
"BVR",50,2020-08-08,11.1616001098611
"BVR",50,2020-08-09,11.1479131975
"BVR",50,2020-08-10,11.1345748209722
"BVR",50,2020-08-11,11.1220408581944
"BVR",50,2020-08-12,11.1111335347552
"BVR",50,2020-08-13,11.0957327259124
"BVR",50,2020-08-14,11.09539423625
"BVR",50,2020-08-15,11.1156432845139
"BVR",50,2020-08-16,11.1378949652083
"BVR",50,2020-08-17,11.1149734874453
"BVR",50,2020-08-18,11.0910581810417
"BVR",50,2020-08-19,11.0803005776389
"BVR",50,2020-08-20,11.066356422766
"BVR",50,2020-08-21,11.0585854625
"BVR",50,2020-08-22,11.0538549504861
"BVR",50,2020-08-23,11.0467789197917
"BVR",50,2020-08-24,11.0387855561111
"BVR",50,2020-08-25,11.0309463246528
"BVR",50,2020-08-26,11.0125420438732
"BVR",50,2020-08-27,11.0051391728472
"BVR",50,2020-08-28,11.0021477909028
"BVR",50,2020-08-29,10.9992373138889
"BVR",50,2020-08-30,10.9901204798611
"BVR",50,2020-08-31,11.0236853063194
"BVR",50,2020-09-01,11.0689869248611
"BVR",50,2020-09-02,11.0666848645139
"BVR",50,2020-09-03,11.05858415875
