"DateTime","Depth","period","type","var","value","scenario"
2015-08-06,"0.1","calib","mod","wl",10.8508126589797,"baseline"
2015-08-06,"0.1","calib","obs","wl",11.2,"baseline"
2015-08-07,"0.1","calib","mod","wl",10.8488506600685,"baseline"
2015-08-07,"0.1","calib","obs","wl",11.2,"baseline"
2015-08-08,"0.1","calib","mod","wl",10.8479852922171,"baseline"
2015-08-08,"0.1","calib","obs","wl",11.2,"baseline"
2015-08-09,"0.1","calib","mod","wl",10.8462000237473,"baseline"
2015-08-09,"0.1","calib","obs","wl",11.2,"baseline"
2015-08-10,"0.1","calib","mod","wl",10.8445527078505,"baseline"
2015-08-10,"0.1","calib","obs","wl",11.2,"baseline"
2015-08-11,"0.1","calib","mod","wl",10.8434634605754,"baseline"
2015-08-11,"0.1","calib","obs","wl",11.2,"baseline"
2015-08-12,"0.1","calib","mod","wl",10.8598625315558,"baseline"
2015-08-12,"0.1","calib","obs","wl",11.1888888888889,"baseline"
2015-08-13,"0.1","calib","mod","wl",10.8444497153559,"baseline"
2015-08-13,"0.1","calib","obs","wl",11.1777777777778,"baseline"
2015-08-13,"0.1","calib","mod","temp",26.6090212957412,"baseline"
2015-08-13,"0.1","calib","obs","temp",25.7,"baseline"
2015-08-13,"0.1","calib","mod","oxy",8.4033429362918,"baseline"
2015-08-13,"0.1","calib","obs","oxy",5.92,"baseline"
2015-08-13,"0.1","calib","mod","nh4",3.92861938789308,"baseline"
2015-08-13,"0.1","calib","obs","nh4",0.999999999999999,"baseline"
2015-08-13,"0.1","calib","mod","no3",0.244752092028475,"baseline"
2015-08-13,"0.1","calib","obs","no3",2,"baseline"
2015-08-13,"0.1","calib","mod","po4",2.18859534313342,"baseline"
2015-08-13,"0.1","calib","obs","po4",6,"baseline"
2015-08-13,"0.1","calib","obs","din",3,"baseline"
2015-08-13,"0.1","calib","mod","din",4.17337147992155,"baseline"
2015-08-14,"0.1","calib","mod","wl",10.8315293372351,"baseline"
2015-08-14,"0.1","calib","obs","wl",11.1666666666667,"baseline"
2015-08-15,"0.1","calib","mod","wl",10.8198227219434,"baseline"
2015-08-15,"0.1","calib","obs","wl",11.1555555555556,"baseline"
2015-08-16,"0.1","calib","mod","wl",10.8090332173134,"baseline"
2015-08-16,"0.1","calib","obs","wl",11.1444444444444,"baseline"
2015-08-17,"0.1","calib","mod","wl",10.7980908165668,"baseline"
2015-08-17,"0.1","calib","obs","wl",11.1333333333333,"baseline"
2015-08-18,"0.1","calib","mod","wl",10.7875258913184,"baseline"
2015-08-18,"0.1","calib","obs","wl",11.1222222222222,"baseline"
2015-08-19,"0.1","calib","mod","wl",10.780858668583,"baseline"
2015-08-19,"0.1","calib","obs","wl",11.1111111111111,"baseline"
2015-08-20,"0.1","calib","mod","wl",10.7713103756265,"baseline"
2015-08-20,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-21,"0.1","calib","mod","wl",10.7699195218233,"baseline"
2015-08-21,"0.1","calib","obs","wl",11.1,"baseline"
2015-08-22,"0.1","calib","mod","wl",10.7648855738172,"baseline"
2015-08-22,"0.1","calib","obs","wl",11.1,"baseline"
