"DateTime","Depth","var","value","scenario"
2015-07-09,"0.1","wl",10.9695423860331,"baseline"
2015-07-09,"0.1","temp",26.0179356180534,"baseline"
2015-07-09,"0.1","oxy",8.43661492852732,"baseline"
2015-07-09,"0.1","nh4",26.98162829092,"baseline"
2015-07-09,"0.1","no3",3.72043222080078,"baseline"
2015-07-09,"0.1","po4",6.11728903759182,"baseline"
2015-07-09,"0.1","chla",3.4558618985744,"baseline"
2015-07-09,"0.1","din",30.7020605117207,"baseline"
2015-07-10,"0.1","wl",10.9673642695829,"baseline"
2015-07-10,"0.1","temp",26.9063709483248,"baseline"
2015-07-10,"0.1","oxy",8.39361864118771,"baseline"
2015-07-10,"0.1","nh4",25.8332866477835,"baseline"
2015-07-10,"0.1","no3",3.80683139966215,"baseline"
2015-07-10,"0.1","po4",5.96232647138138,"baseline"
2015-07-10,"0.1","chla",3.46899546363526,"baseline"
2015-07-10,"0.1","din",29.6401180474457,"baseline"
2015-07-11,"0.1","wl",10.9651762342969,"baseline"
2015-07-11,"0.1","temp",27.41931297672,"baseline"
2015-07-11,"0.1","oxy",8.33025560748233,"baseline"
2015-07-11,"0.1","nh4",25.525198749921,"baseline"
2015-07-11,"0.1","no3",3.58282399644476,"baseline"
2015-07-11,"0.1","po4",5.83826763235025,"baseline"
2015-07-11,"0.1","chla",3.49294859522684,"baseline"
2015-07-11,"0.1","din",29.1080227463658,"baseline"
2015-07-12,"0.1","wl",10.9630202598729,"baseline"
2015-07-12,"0.1","temp",27.4665777785123,"baseline"
2015-07-12,"0.1","oxy",8.38678442979868,"baseline"
2015-07-12,"0.1","nh4",25.4798355338837,"baseline"
2015-07-12,"0.1","no3",3.26224113149315,"baseline"
2015-07-12,"0.1","po4",5.70499943932792,"baseline"
2015-07-12,"0.1","chla",3.50239953812871,"baseline"
2015-07-12,"0.1","din",28.7420766653769,"baseline"
2015-07-13,"0.1","wl",10.9618179758171,"baseline"
2015-07-13,"0.1","temp",27.6988525131778,"baseline"
2015-07-13,"0.1","oxy",8.47238718704449,"baseline"
2015-07-13,"0.1","nh4",25.5449803989678,"baseline"
2015-07-13,"0.1","no3",2.99718085174886,"baseline"
2015-07-13,"0.1","po4",5.68271444249053,"baseline"
2015-07-13,"0.1","chla",3.48728925922139,"baseline"
2015-07-13,"0.1","din",28.5421612507167,"baseline"
2015-07-14,"0.1","wl",10.9704258415524,"baseline"
2015-07-14,"0.1","temp",28.6294118173024,"baseline"
2015-07-14,"0.1","oxy",8.47740792567393,"baseline"
2015-07-14,"0.1","nh4",25.6318036270122,"baseline"
2015-07-14,"0.1","no3",2.76077039753466,"baseline"
2015-07-14,"0.1","po4",5.51555507780682,"baseline"
2015-07-14,"0.1","chla",3.50248243103587,"baseline"
2015-07-14,"0.1","din",28.3925740245469,"baseline"
2015-07-15,"0.1","wl",10.9728873286756,"baseline"
2015-07-15,"0.1","temp",28.2443834524652,"baseline"
2015-07-15,"0.1","oxy",8.37042887186415,"baseline"
2015-07-15,"0.1","nh4",22.8304221691816,"baseline"
2015-07-15,"0.1","no3",2.58947252926781,"baseline"
2015-07-15,"0.1","po4",5.1526274462441,"baseline"
2015-07-15,"0.1","chla",3.51852920764007,"baseline"
2015-07-15,"0.1","din",25.4198946984494,"baseline"
2015-07-16,"0.1","wl",10.9686103330603,"baseline"
2015-07-16,"0.1","temp",27.1987383646687,"baseline"
2015-07-16,"0.1","oxy",8.16496278709084,"baseline"
2015-07-16,"0.1","nh4",18.2851552312582,"baseline"
2015-07-16,"0.1","no3",2.9332913663597,"baseline"
2015-07-16,"0.1","po4",4.63511373814231,"baseline"
2015-07-16,"0.1","chla",3.50539679729432,"baseline"
2015-07-16,"0.1","din",21.2184465976179,"baseline"
2015-07-17,"0.1","wl",10.9645646397088,"baseline"
2015-07-17,"0.1","temp",27.2842676388154,"baseline"
2015-07-17,"0.1","oxy",8.18602929164502,"baseline"
2015-07-17,"0.1","nh4",18.5981670598495,"baseline"
2015-07-17,"0.1","no3",4.00307222134711,"baseline"
2015-07-17,"0.1","po4",4.34819242890165,"baseline"
2015-07-17,"0.1","chla",3.52246812635522,"baseline"
2015-07-17,"0.1","din",22.6012392811966,"baseline"
2015-07-18,"0.1","wl",10.962109183182,"baseline"
2015-07-18,"0.1","temp",27.501147455842,"baseline"
2015-07-18,"0.1","oxy",8.25039251151343,"baseline"
2015-07-18,"0.1","nh4",19.0320264340852,"baseline"
2015-07-18,"0.1","no3",3.57862137605041,"baseline"
2015-07-18,"0.1","po4",4.18028651524008,"baseline"
2015-07-18,"0.1","chla",3.5148196679037,"baseline"
2015-07-18,"0.1","din",22.6106478101356,"baseline"
2015-07-19,"0.1","wl",10.9631271674621,"baseline"
2015-07-19,"0.1","temp",27.9530069964145,"baseline"
2015-07-19,"0.1","oxy",8.33304532561984,"baseline"
2015-07-19,"0.1","nh4",19.2017424742672,"baseline"
2015-07-19,"0.1","no3",3.09889409504795,"baseline"
2015-07-19,"0.1","po4",3.8784137793174,"baseline"
2015-07-19,"0.1","chla",3.49309508263128,"baseline"
2015-07-19,"0.1","din",22.3006365693152,"baseline"
2015-07-20,"0.1","wl",10.9603829870427,"baseline"
2015-07-20,"0.1","temp",28.6897836957636,"baseline"
2015-07-20,"0.1","oxy",8.23329373044852,"baseline"
2015-07-20,"0.1","nh4",18.5944284485155,"baseline"
2015-07-20,"0.1","no3",3.06854289418642,"baseline"
2015-07-20,"0.1","po4",3.50232528931868,"baseline"
2015-07-20,"0.1","chla",3.54446398696487,"baseline"
2015-07-20,"0.1","din",21.6629713427019,"baseline"
2015-07-21,"0.1","wl",10.9575413293447,"baseline"
2015-07-21,"0.1","temp",28.898585691826,"baseline"
2015-07-21,"0.1","oxy",8.18339527668983,"baseline"
2015-07-21,"0.1","nh4",17.8285976659936,"baseline"
2015-07-21,"0.1","no3",3.26034710935825,"baseline"
2015-07-21,"0.1","po4",2.97062173678255,"baseline"
2015-07-21,"0.1","chla",3.52849705807912,"baseline"
2015-07-21,"0.1","din",21.0889447753519,"baseline"
2015-07-22,"0.1","wl",10.9456906449404,"baseline"
2015-07-22,"0.1","temp",28.2999681946339,"baseline"
2015-07-22,"0.1","oxy",8.1544376757854,"baseline"
2015-07-22,"0.1","nh4",16.9553852430236,"baseline"
2015-07-22,"0.1","no3",2.63579276719735,"baseline"
2015-07-22,"0.1","po4",2.61272681597635,"baseline"
2015-07-22,"0.1","chla",3.50558458442511,"baseline"
2015-07-22,"0.1","din",19.591178010221,"baseline"
2015-07-23,"0.1","wl",10.9333621172424,"baseline"
2015-07-23,"0.1","temp",28.5626451589751,"baseline"
2015-07-23,"0.1","oxy",8.15904913132189,"baseline"
2015-07-23,"0.1","nh4",16.7314095466602,"baseline"
2015-07-23,"0.1","no3",2.25120678912465,"baseline"
2015-07-23,"0.1","po4",2.60066012596441,"baseline"
2015-07-23,"0.1","chla",3.52203787271737,"baseline"
2015-07-23,"0.1","din",18.9826163357849,"baseline"
2015-07-24,"0.1","wl",10.9217142252277,"baseline"
2015-07-24,"0.1","temp",28.3245804120615,"baseline"
2015-07-24,"0.1","oxy",8.2341170525908,"baseline"
2015-07-24,"0.1","nh4",16.213906167614,"baseline"
2015-07-24,"0.1","no3",1.85608039012405,"baseline"
2015-07-24,"0.1","po4",2.44753733152816,"baseline"
2015-07-24,"0.1","chla",3.50642801801481,"baseline"
2015-07-24,"0.1","din",18.0699865577381,"baseline"
2015-07-25,"0.1","wl",10.9107762510486,"baseline"
2015-07-25,"0.1","temp",28.3634177139122,"baseline"
2015-07-25,"0.1","oxy",8.32887804592471,"baseline"
2015-07-25,"0.1","nh4",15.6701273334075,"baseline"
2015-07-25,"0.1","no3",1.49742807212368,"baseline"
2015-07-25,"0.1","po4",2.29108765298895,"baseline"
2015-07-25,"0.1","chla",3.51566252732106,"baseline"
2015-07-25,"0.1","din",17.1675554055312,"baseline"
2015-07-26,"0.1","wl",10.8998483615783,"baseline"
2015-07-26,"0.1","temp",28.7363689787275,"baseline"
2015-07-26,"0.1","oxy",8.37863867720668,"baseline"
2015-07-26,"0.1","nh4",14.9170811423761,"baseline"
2015-07-26,"0.1","no3",1.17892498917672,"baseline"
2015-07-26,"0.1","po4",2.14305137129932,"baseline"
2015-07-26,"0.1","chla",3.4925389421035,"baseline"
2015-07-26,"0.1","din",16.0960061315528,"baseline"
2015-07-27,"0.1","wl",10.8892848165012,"baseline"
2015-07-27,"0.1","temp",29.4010065268581,"baseline"
2015-07-27,"0.1","oxy",8.44696122916289,"baseline"
2015-07-27,"0.1","nh4",14.15133558729,"baseline"
2015-07-27,"0.1","no3",0.908719482316588,"baseline"
2015-07-27,"0.1","po4",2.03239318859058,"baseline"
2015-07-27,"0.1","chla",3.47778592018055,"baseline"
2015-07-27,"0.1","din",15.0600550696066,"baseline"
2015-07-28,"0.1","wl",10.879031594415,"baseline"
2015-07-28,"0.1","temp",29.0895217404977,"baseline"
2015-07-28,"0.1","oxy",8.57244889637746,"baseline"
2015-07-28,"0.1","nh4",12.6711350559205,"baseline"
2015-07-28,"0.1","no3",0.681293049429978,"baseline"
2015-07-28,"0.1","po4",1.92054840075814,"baseline"
2015-07-28,"0.1","chla",3.43579754648465,"baseline"
2015-07-28,"0.1","din",13.3524281053505,"baseline"
2015-07-29,"0.1","wl",10.8795513328344,"baseline"
2015-07-29,"0.1","temp",29.5312094820237,"baseline"
2015-07-29,"0.1","oxy",8.54317217055715,"baseline"
2015-07-29,"0.1","nh4",11.3219208358078,"baseline"
2015-07-29,"0.1","no3",0.493675631259009,"baseline"
2015-07-29,"0.1","po4",1.80656339747189,"baseline"
2015-07-29,"0.1","chla",3.41064865801739,"baseline"
2015-07-29,"0.1","din",11.8155964670669,"baseline"
2015-07-30,"0.1","wl",10.8772358672513,"baseline"
2015-07-30,"0.1","temp",29.8641222460088,"baseline"
