DateTime,inflow_factor,rain_factor,outflow_factor,RMSE
2021-02-01 16:31:04,1.19882466523988,0.933495233266204,1.1149002940302,63301
2021-02-01 16:31:01,1.19882466523988,0.933495233266204,1.1149002940302,63301
2021-02-01 16:30:59,1.19788831375154,0.931433884925474,1.1139488891937,63718
2021-02-01 16:30:56,1.19656090680543,0.932693803624395,1.11269860003222,63877
2021-02-01 16:30:53,1.19807793869842,0.934434412506124,1.11404455350544,63674
2021-02-01 16:30:51,1.19882466523988,0.933495233266204,1.1149002940302,63301
2021-02-01 16:30:48,1.2,0.930169530485912,1.11686645122702,64813
2021-02-01 16:30:46,1.19265753113063,0.936077688378452,1.11006423191894,63671
2021-02-01 16:30:43,1.2,0.929133281074655,1.11585513276803,63782
2021-02-01 16:30:40,1.19852126220285,0.932616835180827,1.11452635851688,63689
2021-02-01 16:30:38,1.19480354931367,0.933395117403794,1.1109589783709,64574
2021-02-01 16:30:35,1.19200853324642,0.934828695921745,1.10914530328101,63952
2021-02-01 16:30:33,1.19576319299561,0.936793090962151,1.11291144915518,63806
2021-02-01 16:30:30,1.2,0.927427515244955,1.11998285238325,71362
2021-02-01 16:30:27,1.2,0.926430519684548,1.11726703688402,64945
2021-02-01 16:30:25,1.2,0.923652365581151,1.11816090299299,67442
2021-02-01 16:30:22,1.19785632758617,0.931924452168957,1.11385242674693,63665
2021-02-01 16:30:20,1.2,0.931126469557818,1.11873746241525,66454
2021-02-01 16:30:17,1.2,0.933724087388843,1.11689607740982,64266
2021-02-01 16:30:15,1.2,0.927264242651733,1.12177675442065,72360
2021-02-01 16:30:12,1.2,0.93097824548805,1.11964483128493,69218
2021-02-01 16:30:09,1.2,0.931619744788928,1.11981729356451,69315
2021-02-01 16:30:07,1.19349140730983,0.932470829771418,1.11004152428351,63761
2021-02-01 16:30:04,1.19914114221249,0.932508116329174,1.11493365159734,63545
2021-02-01 16:30:01,1.19727659468794,0.940499142623733,1.11406609270828,64505
2021-02-01 16:29:59,1.19885539872327,0.936423497884466,1.11533436843705,63608
2021-02-01 16:29:56,1.2,0.941102867167682,1.11666785015428,63624
2021-02-01 16:29:53,1.19456378796686,0.934140686440568,1.11144733293886,63763
2021-02-01 16:29:51,1.19780559023178,0.93316288230689,1.11376279249425,63725
2021-02-01 16:29:48,1.19913840714833,0.934074827307072,1.11527325687337,63575
2021-02-01 16:29:46,1.18833757149765,0.947648359563804,1.10691422991653,64670
2021-02-01 16:29:43,1.19836349005964,0.934753589285054,1.11451551317967,63768
2021-02-01 16:29:41,1.19526891062524,0.935872844255745,1.11189597842636,63532
2021-02-01 16:29:38,1.19521170106611,0.93408009037315,1.11165887391278,63849
2021-02-01 16:29:35,1.18749882728867,0.943328329252691,1.10662374784184,64137
2021-02-01 16:29:33,1.2,0.938846795057742,1.11950267199714,65896
2021-02-01 16:29:30,1.18776613830725,0.94347898583299,1.10711730540463,64138
2021-02-01 16:29:28,1.2,0.932937748195649,1.12102057524172,71513
2021-02-01 16:29:25,1.19650829205391,0.934118709555529,1.11280684416538,63487
2021-02-01 16:29:22,1.19678944425558,0.941509081278066,1.11347813875966,64279
2021-02-01 16:29:20,1.18146881162295,0.940473683133335,1.10045465222455,65054
2021-02-01 16:29:17,1.19817192838904,0.936852790340693,1.11486560915802,63783
2021-02-01 16:29:14,1.19322488849321,0.942774453537793,1.11126189456262,63773
2021-02-01 16:29:12,1.18107459208056,0.942632409843983,1.10134355364112,64595
2021-02-01 16:29:09,1.19551723873387,0.926236475498255,1.11079655043593,64567
2021-02-01 16:29:07,1.19336437663395,0.941190898391896,1.11099903223907,63869
2021-02-01 16:29:04,1.19920205898676,0.932854725070719,1.11485506559191,64198
2021-02-01 16:29:01,1.18914465970288,0.947580678390041,1.10704267988938,64800
2021-02-01 16:28:59,1.19308974447725,0.934562074803608,1.11007498582233,63679
2021-02-01 16:28:56,1.16288100750444,0.93535608931088,1.08458017790893,65216
2021-02-01 16:28:54,1.18883929599458,0.954460967132505,1.10940814545597,64180
2021-02-01 16:28:51,1.2,0.93079767742137,1.12010429867021,70678
2021-02-01 16:28:48,1.18335595132633,0.94921567712394,1.10398917609279,64471
2021-02-01 16:28:46,1.17535557070393,0.942956857607237,1.09564551040027,65467
2021-02-01 16:28:43,1.2,0.944653928473521,1.13165554483943,89546
2021-02-01 16:28:41,1.19553689659628,0.941206467841985,1.11315496285198,63770
2021-02-01 16:28:38,1.1690262653383,0.949055916962967,1.09169827745065,64698
2021-02-01 16:28:36,1.191607909657,0.93192948003529,1.10836687830046,63732
2021-02-01 16:28:33,1.2,0.930171445919525,1.1227985178481,73459
2021-02-01 16:28:30,1.18713107017626,0.948946050683409,1.10744448089561,64689
2021-02-01 16:28:28,1.18914846075049,0.950061962462708,1.1088827061873,63850
2021-02-01 16:28:25,1.18647697435856,0.93194873336157,1.10447425743323,65015
2021-02-01 16:28:25,1.16685721648571,0.964391652565727,1.09137941359132,65015
2021-02-01 16:28:22,1.18452829899007,0.954997339875087,1.10602500181297,64498
2021-02-01 16:28:19,1.18280152101696,0.940510331325825,1.10191420024231,63827
2021-02-01 16:28:17,1.2,0.940620991697699,1.12496598997907,74910
2021-02-01 16:28:14,1.19632039204784,0.939862010986488,1.11408311984834,63959
2021-02-01 16:28:12,1.2,0.952542568216473,1.12137961933054,66368
2021-02-01 16:28:09,1.18693664505842,0.942729803311095,1.10561499650352,63886
2021-02-01 16:28:06,1.17235722503102,0.942144155842273,1.09359345693199,64746
2021-02-01 16:28:04,1.17702684715097,0.930080819470259,1.09779320334324,65466
