DateTime,wind_factor,sw_factor,lw_factor,coef_mix_conv,coef_wind_stir,coef_mix_shear,coef_mix_turb,coef_mix_KH,coef_mix_hyp,ce,ch,cd,sed_temp_mean,sed_temp_mean.1,sed_temp_amplitude,sed_temp_amplitude.1,sed_temp_peak_doy,sed_temp_peak_doy.1,RMSE
2021-02-04 10:22:18,1.15595604704868,0.883121672616681,0.851528660132865,0.282695551967406,0.290189938098452,0.174352414528812,0.516584511620477,0.529695004903052,0.452127586591713,0.000526438617716593,0.001113540828664,0.00149421374225423,9.38364993765344,15.1755167649592,2.21452401477782,8.41107120747817,280,253.555137382635,1.6906
2021-02-04 10:22:15,1.15595604704868,0.883121672616681,0.851528660132865,0.282695551967406,0.290189938098452,0.174352414528812,0.516584511620477,0.529695004903052,0.452127586591713,0.000526438617716593,0.001113540828664,0.00149421374225423,9.38364993765344,15.1755167649592,2.21452401477782,8.41107120747817,280,253.555137382635,1.6906
2021-02-04 10:22:12,1.17886040738533,0.840883174645618,0.948508219798739,0.243699869940946,0.379348802626202,0.185156880077426,0.56724221038011,0.535921851236553,0.48299594392765,0.000796549856452341,0.00121767279352811,0.00164262600915659,8.97454639729986,14.6085416690134,2.10769947749522,7.59081937467837,279.437721847455,253.142377109322,1.9633
2021-02-04 10:22:09,1.21255855634564,0.763025265089202,0.873843437086568,0.208189849906154,0.362184817751951,0.321499816342974,0.538980656214068,0.437919254610899,0.414508576650171,5e-04,0.00101872845777601,0.00136999534616153,8.37944499123024,14.3876903992785,2.3609763568889,9.07072269339618,279.657561035979,254.057675034805,1.7709
2021-02-04 10:22:06,1.10033464755877,0.773260379168504,0.922168753274127,0.303963685863615,0.318959670130051,0.241551188295867,0.468933123479912,0.465647626924667,0.404403127153393,5e-04,0.00115656639181898,0.00162049818892981,8.31517592214414,14.9500880421011,2,8.34191883899482,277.670270537419,253.45558137774,1.7525
2021-02-04 10:22:03,1.15785134277207,0.75,0.869441043603578,0.307855280127517,0.29895772087656,0.194006575532886,0.501826640071756,0.432459094872679,0.457738469241606,0.000565229310225743,0.00111913562529211,0.00180463306444013,10.161861675729,14.5776695920802,2.51533361122103,8.35827787036829,280,254.24978637392,2.0068
2021-02-04 10:22:00,1.19183874239969,0.850127300095547,0.913000099259748,0.253611196759886,0.323261220540282,0.235109779729044,0.534980186529241,0.46949012280066,0.3796976649731,5e-04,0.00102842477851524,0.00157491217409862,8.66277679791759,15.7593320987227,2,7.27035859680466,278.391510560575,252.201590849868,1.757
2021-02-04 10:21:57,1.11595493772171,0.849073944287547,0.919110704125397,0.249389435863568,0.325190276311878,0.262519926671563,0.522547143208247,0.514957330054883,0.439819228959353,0.00058217612340921,0.00118384058074631,0.00160166085847218,10.0027433306045,18.1962147892613,2,8.29746602453277,274.787076838754,255.786821195044,2.0373
2021-02-04 10:21:54,1.15595604704868,0.883121672616681,0.851528660132865,0.282695551967406,0.290189938098452,0.174352414528812,0.516584511620477,0.529695004903052,0.452127586591713,0.000526438617716593,0.001113540828664,0.00149421374225423,9.38364993765344,15.1755167649592,2.21452401477782,8.41107120747817,280,253.555137382635,1.6906
2021-02-04 10:21:51,1.14441031753974,0.755332696357141,0.895130081921646,0.264337694896492,0.342576762030857,0.265424796637339,0.566669130496114,0.516671750558502,0.439507232287646,0.000585944367259534,0.000950499981491054,0.00175136882708283,9.29523804525181,14.9335655332633,2.34945012550101,8.75141397791778,280,250,1.7265
2021-02-04 10:21:48,1.14470974234127,0.815735475328827,0.883322963258956,0.274091699170368,0.327312296627935,0.278178453694364,0.452414896714011,0.446003027336151,0.37477956242709,0.000533415828734413,0.000963328786347084,0.00177012745707367,9.11572305069963,14.7527322740755,2,9.55104753429054,280,253.848360785841,1.7553
2021-02-04 10:21:45,1.06023276623195,0.791707825881462,0.870801722931065,0.274700268239154,0.295800923675429,0.226355776562788,0.562011800956373,0.427224136727507,0.399262252172672,0.00068909186222517,0.0012113740367549,0.00158687769333579,9.91292987357381,15.0813873562672,2,7.44400841127165,277.940601439168,254.957033354906,1.8725
2021-02-04 10:21:42,1.14360045756108,0.824927170031449,0.901482247937574,0.161871727087702,0.343666409603919,0.183356506226615,0.550850716096246,0.423220484562619,0.483505680181941,0.000609390290212273,0.00118401539154661,0.00154578386641243,9.8082487858379,15.181532533799,2,9.03364360299413,278.912695465364,253.292618865276,1.8106
2021-02-04 10:21:38,1.0807882514005,0.831208092805354,0.944539023485384,0.241990909364537,0.316508479811146,0.21914217962714,0.529062778736941,0.509502381499637,0.373299366822177,0.000668918280182627,0.0011435920950068,0.00145055007945775,9.10232715955737,16.2836624509531,2,7.19359471537199,280,254.206103455499,1.9797
2021-02-04 10:21:35,1.16418731849662,0.81984699481599,0.911482014327667,0.23651052547956,0.308932680950985,0.251063166138485,0.523245638391607,0.497297615276983,0.433988700873098,0.000520598543764011,0.00128642511320872,0.00183399882747812,7.92664847786814,15.3586714297642,2.46586924132669,8.55778612259053,278.614076560367,255.775591053517,1.758
2021-02-04 10:21:32,1.12903755621374,0.855343665342369,0.931084396260762,0.240318916156414,0.359758724887816,0.248371957209132,0.562280036610994,0.520216522864741,0.495769453206437,0.000601711943028404,0.00105096271559201,0.00161498578226636,9.06488755162103,14.2920113934067,2.04485633439735,7.9865959173729,278.032602624705,257.379118658448,1.8701
