"time","FLOW"
2016-04-02,0.0441
2016-04-03,0.0308
2016-04-04,0.0216
2016-04-05,0.0151
2016-04-06,0.0106
2016-04-07,0.0196
2016-04-08,0.0137
2016-04-09,0.0096
2016-04-10,0.0067
2016-04-11,0.0047
2016-04-12,0.3505
2016-04-13,0.0023
2016-04-14,0.0016
2016-04-15,0.0011
2016-04-16,8e-04
2016-04-17,6e-04
2016-04-18,4e-04
2016-04-19,3e-04
2016-04-20,2e-04
2016-04-21,0.3474
2016-04-22,0.1487
2016-04-23,0.1041
2016-04-24,0.0729
2016-04-25,0.051
2016-04-26,0.0357
2016-04-27,0.0283
2016-04-28,0.0395
2016-04-29,0.0277
2016-04-30,0.0338
2016-05-01,0.2055
2016-05-02,-0.1553
2016-05-03,0.1343
2016-05-04,0.094
2016-05-05,0.2436
2016-05-06,0.1705
2016-05-07,0.1193
2016-05-08,0.0835
2016-05-09,-0.2887
2016-05-10,0.0409
2016-05-11,0.0359
2016-05-12,0.0251
2016-05-13,0.0176
2016-05-14,0.0123
2016-05-15,0.0086
2016-05-16,0.3533
2016-05-17,0.0042
2016-05-18,0.003
2016-05-19,0.0021
2016-05-20,0.0014
2016-05-21,0.001
2016-05-22,7e-04
2016-05-23,0.3477
2016-05-24,3e-04
2016-05-25,2e-04
2016-05-26,2e-04
2016-05-27,1e-04
2016-05-28,1e-04
2016-05-29,1e-04
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0.3009
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0.0368
2016-07-08,0.1
2016-07-09,0.07
2016-07-10,0.049
2016-07-11,0.0343
2016-07-12,0.2872
2016-07-13,0.201
2016-07-14,0.1407
2016-07-15,0.0985
2016-07-16,0.069
2016-07-17,0.0483
2016-07-18,0.0338
2016-07-19,0.3362
2016-07-20,0.0166
2016-07-21,0.0116
2016-07-22,0.0081
2016-07-23,0.0057
2016-07-24,0.004
2016-07-25,0.0382
2016-07-26,0.0784
2016-07-27,0.0838
2016-07-28,0.2359
2016-07-29,0.1651
2016-07-30,0.1292
2016-07-31,0.2147
2016-08-01,0.1503
2016-08-02,0.1052
2016-08-03,0.1475
2016-08-04,-0.169
2016-08-05,0.1838
2016-08-06,0.1287
2016-08-07,0.0901
2016-08-08,0.1054
2016-08-09,0.0738
2016-08-10,0.0804
2016-08-11,0.0563
2016-08-12,0.0394
2016-08-13,0.0276
2016-08-14,0.0193
2016-08-15,0.0834
2016-08-16,0.0584
2016-08-17,0.0408
2016-08-18,0.0286
2016-08-19,0.3325
2016-08-20,0.014
2016-08-21,0.0098
2016-08-22,0.0069
2016-08-23,0.0048
2016-08-24,0.0034
2016-08-25,0.0024
2016-08-26,0.0016
2016-08-27,0.0012
2016-08-28,8e-04
2016-08-29,6e-04
2016-08-30,-0.3121
2016-08-31,0.0304
2016-09-01,0.1653
2016-09-02,0.1157
2016-09-03,0.081
2016-09-04,0.0567
2016-09-05,0.0397
2016-09-06,0.0278
2016-09-07,0.0194
2016-09-08,-0.2873
2016-09-09,0.0095
2016-09-10,0.0067
2016-09-11,0.0047
2016-09-12,0.0033
2016-09-13,0.0023
2016-09-14,0.0016
2016-09-15,0.0011
2016-09-16,8e-04
2016-09-17,-0.3467
2016-09-18,4e-04
2016-09-19,0.6435
2016-09-20,0.4504
2016-09-21,0.3153
2016-09-22,0.2207
2016-09-23,0.1545
2016-09-24,0.1082
2016-09-25,0.0757
2016-09-26,-0.2042
2016-09-27,0.1629
2016-09-28,0.3967
2016-09-29,0.7536
2016-09-30,0.7552
2016-10-01,0.5286
2016-10-02,0.37
2016-10-03,0.259
2016-10-04,-0.0502
2016-10-05,0.1269
2016-10-06,0.0888
2016-10-07,0.2231
2016-10-08,0.6128
2016-10-09,0.429
2016-10-10,-0.047
2016-10-11,0.2102
2016-10-12,-0.2001
2016-10-13,0.103
2016-10-14,0.0721
2016-12-19,0.0505
2016-12-20,0.0353
2016-12-21,0.0247
2016-12-22,0.0373
2016-12-23,0.0261
2016-12-24,0.104
2016-12-25,0.0728
2016-12-26,0.0517
2016-12-27,0.0362
2016-12-28,0.0253
2016-12-29,0.0569
2016-12-30,0.0398
2016-12-31,0.0279
2017-01-01,0.0195
2017-01-02,0.2908
2017-01-03,0.1251
2017-01-04,0.0876
2017-01-05,0.0613
2017-01-06,0.0429
2017-01-07,0.03
2017-01-08,0.021
2017-01-09,0.0147
2017-01-10,0.0127
2017-01-11,0.0225
2017-01-12,0.0158
2017-01-13,0.011
2017-01-14,0.0168
2017-01-15,0.0117
2017-01-16,0.009
2017-01-17,0.031
2017-01-18,0.0217
2017-01-19,0.0152
2017-01-20,0.0553
2017-01-21,0.0732
2017-01-22,0.0788
2017-01-23,0.0392
2017-01-24,0.2056
2017-01-25,0.144
2017-01-26,0.1008
2017-01-27,0.0705
2017-01-28,0.0494
2017-01-29,0.0346
2017-01-30,0.0242
2017-01-31,0.0169
2017-02-01,0.0119
2017-02-02,0.0083
2017-02-03,0.0058
2017-02-04,0.0041
2017-02-05,0.0028
2017-02-06,0.002
2017-04-24,-0.2106
2017-04-25,0.171
2017-04-26,0.1197
2017-04-27,-0.2287
2017-04-28,0.0587
2017-04-29,0.0411
2017-04-30,0.0287
2017-05-01,0.0201
2017-05-02,0.0141
2017-05-03,0.0099
2017-05-04,0.1113
2017-05-05,0.3809
2017-05-06,0.2666
2017-05-07,0.1866
2017-05-08,0.1306
2017-05-09,0.0914
2017-05-10,0.064
2017-05-11,0.0448
2017-05-12,0.1419
2017-05-13,0.0993
2017-05-14,0.0695
2017-05-15,0.0487
2017-05-16,0.0341
2017-05-17,0.0239
2017-05-18,0.0167
2017-05-19,0.0117
2017-05-20,0.0178
2017-05-21,0.0213
2017-05-22,0.0509
2017-05-23,0.2643
2017-05-24,0.3817
2017-05-25,0.3216
2017-05-26,0.2251
2017-05-27,0.1576
2017-05-28,0.1103
2017-05-29,0.0772
2017-05-30,0.054
2017-05-31,0.0378
2017-06-01,0.0265
2017-06-02,0.0185
2017-06-03,0.013
2017-06-04,0.0091
2017-06-05,0.1603
2017-06-06,0.1122
2017-06-07,0.0785
2017-06-08,0.055
2017-06-09,0.0385
2017-06-10,0.0269
2017-06-11,0.0189
2017-06-12,0.0132
2017-06-13,0.1393
2017-06-14,0.0975
2017-06-15,0.12
2017-06-16,0.084
2017-06-17,0.2135
2017-06-18,0.1495
2017-06-19,0.1847
2017-06-20,0.4418
2017-06-21,0.0905
2017-06-22,0.0633
2017-06-23,0.0443
2017-06-24,0.031
2017-06-25,0.3458
2017-06-26,0.0152
2017-06-27,0.0106
2017-06-28,0.2621
2017-06-29,0.0052
2017-06-30,0.2467
2017-07-01,0.0026
2017-07-02,0.0018
2017-07-03,0.2443
2017-07-04,9e-04
2017-07-05,0.4138
2017-07-06,0.1196
2017-07-07,0.3152
2017-07-08,0.2901
2017-07-09,0.041
2017-07-10,0.2718
2017-07-11,0.24
2017-07-12,0.2455
2017-07-13,0.0098
2017-07-14,0.2499
2017-07-15,0.0048
2017-07-16,0.2001
2017-07-17,0.0024
2017-07-18,0.3496
2017-07-19,0.107
2017-07-20,0.0749
2017-07-21,0.0524
2017-07-22,0.0367
2017-07-23,0.0257
2017-07-24,0.3196
2017-07-25,0.0779
2017-07-26,0.0545
2017-07-27,0.0382
2017-07-28,0.0355
2017-07-29,0.0249
2017-07-30,0.0174
2017-07-31,0.0122
2017-08-01,-0.1998
2017-08-02,0.0097
2017-08-03,0.0068
2017-08-04,0.0048
2017-08-05,0.0033
2017-08-06,0.0023
2017-08-07,-0.074
2017-08-08,0.0859
2017-08-09,0.0601
2017-08-10,0.0421
2017-08-11,0.0295
2017-08-12,0.0206
2017-08-13,0.0144
2017-08-14,0.0111
2017-08-15,0.0078
2017-08-16,0.0054
2017-08-17,0.008
2017-08-18,0.0056
2017-08-19,0.0039
2017-08-20,0.0028
2017-08-21,0.0019
2017-08-22,-0.1954
2017-08-23,9e-04
2017-08-24,7e-04
2017-08-25,5e-04
2017-08-26,3e-04
2017-08-27,2e-04
2017-08-28,2e-04
2017-08-29,0.0272
2017-08-30,0.0408
2017-08-31,0.0286
2017-09-01,0.0398
2017-09-02,0.0642
2017-09-03,0.0449
2017-09-04,0.0314
2017-09-05,0.022
2017-09-06,0.0927
2017-09-07,0.0649
2017-09-08,0.0454
2017-09-09,0.0318
2017-09-10,0.0222
2017-09-11,0.0156
2017-09-12,0.0527
2017-09-13,0.0369
2017-09-14,0.0258
2017-09-15,0.0181
2017-09-16,0.0127
2017-09-17,0.0089
2017-09-18,-0.2368
2017-09-19,0.0043
2017-09-20,0.003
2017-09-21,0.0021
2017-09-22,0.0015
2017-09-23,0.001
2017-09-24,7e-04
2017-09-25,5e-04
2017-09-26,4e-04
2017-09-27,3e-04
2017-09-28,2e-04
2017-09-29,1e-04
2017-09-30,1e-04
2017-10-01,1e-04
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0.0219
2017-10-08,0.0547
2017-10-09,0.2086
2017-10-10,-0.0855
2017-10-11,0.1857
2017-10-12,0.13
2017-10-13,0.0989
2017-10-14,0.0692
2017-10-15,0.0485
2017-10-16,0.0509
2017-10-17,0.0356
2017-10-18,0.0249
2017-10-19,0.0175
2017-10-20,0.0122
2017-10-21,0.0086
2017-10-22,0.006
2017-10-23,0.2594
2017-10-24,-0.0383
2017-10-25,0.1271
2017-10-26,0.089
2017-10-27,0.0623
2017-10-28,0.0436
2017-10-29,0.1672
2017-10-30,0.117
2017-10-31,0.0819
2017-11-01,0.0573
2017-11-02,0.0401
2017-11-03,0.0281
2017-11-04,0.0455
2017-11-05,0.0319
2017-11-06,0.0223
2017-11-07,0.0156
2017-11-08,0.0177
2017-11-09,0.03
2017-11-10,0.021
2017-11-11,0.0147
2017-11-12,0.03
2017-11-13,0.021
2017-11-14,0.0147
2017-11-15,0.0103
2017-11-16,0.0072
2017-11-17,0.0051
2017-11-18,0.0035
2017-11-19,0.0075
2017-11-20,0.0053
2017-11-21,0.0037
2017-11-22,0.0026
2017-11-23,-0.2412
2017-11-24,0.0013
2017-11-25,9e-04
2017-11-26,6e-04
2017-11-27,4e-04
2017-11-28,3e-04
2017-11-29,2e-04
2017-11-30,1e-04
2017-12-01,1e-04
2017-12-02,1e-04
2017-12-03,1e-04
2017-12-04,0
2017-12-05,0.0172
2017-12-06,0.012
2017-12-07,0.0084
2017-12-08,0.0059
2017-12-09,0.0132
2017-12-10,0.0093
2017-12-11,0.0065
2017-12-12,0.0045
2017-12-13,0.0032
2017-12-14,0.0022
2017-12-15,0.0016
2017-12-16,0.0011
2017-12-17,8e-04
2017-12-18,5e-04
2017-12-19,4e-04
2017-12-20,3e-04
2017-12-21,2e-04
2017-12-22,2e-04
2017-12-23,0.022
2017-12-24,0.0154
2017-12-25,0.012
2017-12-26,0.0084
2017-12-27,0.0059
2017-12-28,0.0041
2017-12-29,0.0029
2017-12-30,0.002
2017-12-31,0.0014
2018-01-01,0.001
2018-01-02,7e-04
2018-01-03,5e-04
2018-01-04,3e-04
2018-01-05,2e-04
2018-01-06,2e-04
2018-01-07,1e-04
2018-01-08,0.0194
2018-01-09,0.0136
2018-01-10,-0.222
2018-01-11,0.0319
2018-01-12,0.1692
2018-01-13,0.1193
2018-01-14,0.0835
2018-01-15,0.0585
2018-01-16,0.0409
2018-01-17,0.0286
2018-01-18,0.02
2018-01-19,0.014
2018-01-20,-0.2217
2018-01-21,0.0069
2018-01-22,0.0048
2018-01-23,0.0206
2018-01-24,0.0145
2018-01-25,0.0101
2018-01-26,0.0071
2018-01-27,0.005
2018-01-28,0.0787
2018-01-29,0.0997
2018-01-30,0.0698
2018-01-31,0.0488
2018-02-01,0.0342
2018-02-02,0.0239
2018-02-03,0.0167
2018-02-04,0.1516
2018-02-05,0.1061
2018-02-06,0.0743
2018-02-07,0.129
2018-02-08,0.0903
2018-02-09,0.0632
2018-02-10,0.2579
2018-02-11,0.3165
2018-02-12,0.2216
2018-02-13,0.1627
2018-02-14,0.1139
2018-02-15,0.0797
2018-02-16,0.0558
2018-02-17,0.0483
2018-02-18,0.0338
2018-02-19,0.0423
2018-02-20,-0.2134
2018-02-21,0.0207
2018-02-22,0.0145
2018-02-23,0.0102
2018-02-24,0.0071
2018-02-25,0.005
2018-02-26,0.0035
2018-02-27,-0.2406
2018-02-28,0.0017
2018-03-01,0.0582
2018-03-02,0.0407
2018-03-03,-0.2146
2018-03-04,0.0199
2018-03-05,0.014
2018-03-06,-0.2449
2018-03-07,-0.3172
2018-03-08,0.0048
2018-03-09,0.0034
2018-03-10,0.0023
2018-03-12,0.0016
2018-03-13,0.0228
2018-03-14,0.016
2018-03-15,0.0112
2018-03-16,0.0078
2018-03-17,0.0522
2018-03-18,0.0365
2018-03-19,0.0256
2018-04-05,0.0179
2018-04-06,0.0125
2018-04-07,0.0088
2018-04-08,0.0061
2018-04-09,0.0043
2018-04-10,0.003
2018-04-11,0.0021
2018-04-12,0.0015
2018-04-13,0.001
2018-04-14,7e-04
2018-04-15,0.236
2018-04-16,0.1652
2018-04-17,0.1156
2018-04-18,0.0809
2018-04-19,0.0567
2018-04-20,0.0397
2018-04-21,0.0278
2018-04-22,-0.2931
2018-04-23,0.0256
2018-04-24,0.29
2018-04-25,-0.0265
2018-04-26,0.2002
2018-04-27,0.1401
2018-04-28,0.0981
2018-04-29,0.0687
2018-04-30,0.3606
2018-05-01,0.0336
2018-05-02,0.0236
2018-05-03,0.0165
2018-05-04,0.0115
2018-05-05,0.0081
2018-05-06,0.0057
2018-05-07,0.0089
2018-05-08,0.0063
2018-05-09,0.0044
2018-05-10,0.0031
2018-05-11,0.0021
2018-05-12,0.0015
2018-05-13,0.0011
2018-05-14,7e-04
2018-05-15,0.1191
2018-05-16,0.4128
2018-05-17,0.8524
2018-05-18,-0.0821
2018-05-19,0.3318
2018-05-20,0.4753
2018-05-21,0.1013
2018-05-22,0.3385
2018-05-23,-0.1103
2018-05-24,0.1659
2018-05-25,0.1161
2018-05-26,0.2014
2018-05-27,0.2661
2018-05-28,0.1863
2018-05-29,0.1609
2018-05-30,0.1126
2018-05-31,0.1643
2018-06-01,0.115
2018-06-02,0.1138
2018-06-03,0.4269
2018-06-04,0.0558
2018-06-05,0.039
2018-06-06,0.2588
2018-06-07,0.0191
2018-06-08,0.0134
2018-06-09,0.0094
2018-06-10,0.0937
2018-06-11,0.4128
2018-06-12,0.0459
2018-06-13,0.0321
2018-06-14,0.0225
2018-06-15,0.0158
