time,FLOW
2016-03-01,0.3473
2016-03-02,1.00E-04
2016-03-03,0
2016-03-04,-0.3472
2016-03-05,0
2016-03-06,0
2016-03-07,-0.2315
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,-0.3472
2016-03-14,0.0036
2016-03-15,0.0025
2016-03-16,0.0017
2016-03-17,0.0012
2016-03-18,9.00E-04
2016-03-19,6.00E-04
2016-03-20,4.00E-04
2016-03-21,0.3475
2016-03-22,2.00E-04
2016-03-23,1.00E-04
2016-03-24,1.00E-04
2016-03-25,1.00E-04
2016-03-26,0
2016-03-27,0
2016-03-28,0.2315
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0.3472
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,0.3472
2016-04-22,0.0019
2016-04-23,0.0013
2016-04-24,9.00E-04
2016-04-25,7.00E-04
2016-04-26,5.00E-04
2016-04-27,3.00E-04
2016-04-28,2.00E-04
2016-04-29,2.00E-04
2016-04-30,4.00E-04
2016-05-01,3.00E-04
2016-05-02,-0.347
2016-05-03,1.00E-04
2016-05-04,1.00E-04
2016-05-05,0.003
2016-05-06,0.0021
2016-05-07,0.0015
2016-05-08,0.001
2016-05-09,-0.3465
2016-05-10,5.00E-04
2016-05-11,4.00E-04
2016-05-12,2.00E-04
2016-05-13,2.00E-04
2016-05-14,1.00E-04
2016-05-15,1.00E-04
2016-05-16,0.3473
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,0.3472
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0.3009
2016-06-04,0
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,0
2016-06-09,0
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,0.0034
2016-07-13,0.0024
2016-07-14,0.0017
2016-07-15,0.0012
2016-07-16,8.00E-04
2016-07-17,6.00E-04
2016-07-18,4.00E-04
2016-07-19,0.3128
2016-07-20,2.00E-04
2016-07-21,1.00E-04
2016-07-22,1.00E-04
2016-07-23,1.00E-04
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0.0017
2016-07-29,0.0012
2016-07-30,8.00E-04
2016-07-31,0.0014
2016-08-01,0.001
2016-08-02,7.00E-04
2016-08-03,0.0021
2016-08-04,-0.3106
2016-08-05,0.0022
2016-08-06,0.0016
2016-08-07,0.0011
2016-08-08,0.0016
2016-08-09,0.002
2016-08-10,0.0014
2016-08-11,0.001
2016-08-12,7.00E-04
2016-08-13,5.00E-04
2016-08-14,3.00E-04
2016-08-15,2.00E-04
2016-08-16,2.00E-04
2016-08-17,1.00E-04
2016-08-18,1.00E-04
2016-08-19,0.3126
2016-08-20,0
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,-0.3125
2016-08-31,0
2016-09-01,0.0019
2016-09-02,0.0013
2016-09-03,9.00E-04
2016-09-04,6.00E-04
2016-09-05,5.00E-04
2016-09-06,3.00E-04
2016-09-07,2.00E-04
2016-09-08,-0.3008
2016-09-09,1.00E-04
2016-09-10,1.00E-04
2016-09-11,1.00E-04
2016-09-12,0
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,-0.3472
2016-09-18,0
2016-09-19,0.0141
2016-09-20,0.0099
2016-09-21,0.0069
2016-09-22,0.0048
2016-09-23,0.0034
2016-09-24,0.0024
2016-09-25,0.0017
2016-09-26,-0.3442
2016-09-27,0.0021
2016-09-28,0.0084
2016-09-29,0.0143
2016-09-30,0.0143
2016-10-01,0.01
2016-10-02,0.007
2016-10-03,0.0049
2016-10-04,-0.228
2016-10-05,0.0024
2016-10-06,0.0017
2016-10-07,-0.3325
2016-10-08,0.0123
2016-10-09,0.0086
2016-10-10,-0.3412
2016-10-11,0.0042
2016-10-12,-0.3443
2016-10-13,0.0021
2016-10-14,0.0014
2016-10-15,0.001
2016-10-16,7.00E-04
2016-10-17,5.00E-04
2016-10-18,3.00E-04
2016-10-19,2.00E-04
2016-10-20,2.00E-04
2016-10-21,1.00E-04
2016-10-22,0.3473
2016-10-23,1.00E-04
2016-10-24,0.3473
2016-10-25,0.001
2016-10-26,0.348
2016-10-27,5.00E-04
2016-10-28,5.00E-04
2016-10-29,0.2321
2016-10-30,4.00E-04
2016-10-31,3.00E-04
2016-11-01,2.00E-04
2016-11-02,1.00E-04
2016-11-03,0.3473
2016-11-04,1.00E-04
2016-11-05,0
2016-11-06,0
2016-11-06,0
2016-11-07,0.3473
2016-11-08,1.00E-04
2016-11-09,1.00E-04
2016-11-10,0.0026
2016-11-11,0.0021
2016-11-12,0.3024
2016-11-13,0.001
2016-11-14,7.00E-04
2016-11-15,0.313
2016-11-16,3.00E-04
2016-11-17,2.00E-04
2016-11-18,2.00E-04
2016-11-19,1.00E-04
2016-11-20,1.00E-04
2016-11-21,1.00E-04
2016-11-22,0
2016-11-23,0
