par,lb,ub,x0
pd%w_p,-0.1,0.1,-0.001
pd%Xcc,30,500,100
pd%R_growth,0.3,2,1.1
pd%f_pr,0.001,0.95,0.05
pd%R_resp,0.001,0.5,0.02
pd%k_fres,0.01,1,0.8
pd%k_fdom,0.01,0.9,0.1
pd%K_N,0.001,10,1.5
pd%R_nuptake,0.001,1,0.06
pd%R_puptake,1e-04,0.1,0.004
