par,lb,ub,x0
Rch4ox,1e-04,5,1
Kch4ox,1e-04,5,0.5
vTch4ox,0.9,1.2,1.08
Fsed_ch4,1,100,40
Ksed_ch4,0.1,10,5
theta_sed_ch4,1,1.15,1.08
