"dateTime","SPFH2m_110_HTGL","SPFH2m_110_HTGL.1","SPFH2m_110_HTGL.2","SPFH2m_110_HTGL.3"
2019-12-31 12:00:00,0.00364000000990927,0.00356599991209805,0.00361120002344251,0.0036983999889344
2019-12-31 13:00:00,0.00355380005203187,0.003464600071311,0.00351980002596974,0.00358540005981922
2019-12-31 14:00:00,0.00346760009415448,0.0033627999946475,0.00342800002545118,0.0034719998948276
2019-12-31 15:00:00,0.00338159990496933,0.00326079991646111,0.00333640002645552,0.00335919996723533
2019-12-31 16:00:00,0.0034296999219805,0.00330889993347228,0.00339250010438263,0.00341290002688766
2019-12-31 17:00:00,0.00347770005464554,0.00335690006613731,0.00344890006817877,0.00346689997240901
2019-12-31 18:00:00,0.00352589995600283,0.00340469996444881,0.00350510003045201,0.00352069991640747
2019-12-31 19:00:00,0.00360290007665753,0.00347970006987453,0.00357730011455715,0.00359650002792478
2019-12-31 20:00:00,0.00367960007861257,0.00355480005964637,0.00364960008300841,0.00367200002074242
2019-12-31 21:00:00,0.0037563000805676,0.00363030005246401,0.00372190005145967,0.00374750001356006
2019-12-31 22:00:00,0.00377260008826852,0.0036510000936687,0.00374300009571016,0.00377380009740591
2019-12-31 23:00:00,0.00378890009596944,0.00367209990508854,0.00376409990713,0.00380009994842112
2020-01-01 00:00:00,0.00380500010214746,0.00369299994781613,0.00378499994985759,0.00382620003074408
2020-01-01 01:00:00,0.00366030004806817,0.00354749988764524,0.00363310007378459,0.00367109989747405
2020-01-01 02:00:00,0.00351530010811985,0.00340209994465113,0.00348090007901192,0.00351610011421144
2020-01-01 03:00:00,0.00337000004947186,0.00325679988600314,0.00332879996858537,0.00336079997941852
2020-01-01 04:00:00,0.00335179991088808,0.00323979998938739,0.0033158001024276,0.00334700010716915
2020-01-01 05:00:00,0.00333349988795817,0.00322309997864068,0.00330309988930821,0.00333270011469722
2020-01-01 06:00:00,0.00331520009785891,0.00320599996484816,0.00329039990901947,0.00331879989244044
2020-01-01 07:00:00,0.00327480002306402,0.00316599989309907,0.00325000006705523,0.0032776000443846
2020-01-01 08:00:00,0.00323419994674623,0.00312580005265772,0.00320939999073744,0.00323619996197522
2020-01-01 09:00:00,0.00319360010325909,0.00308599998243153,0.00316919991746545,0.00319480011239648
2020-01-01 10:00:00,0.00317700044251978,0.00307180033996701,0.00314700044691563,0.00317780044861138
2020-01-01 11:00:00,0.00316050043329597,0.00305730034597218,0.00312490039505064,0.00316090043634176
2020-01-01 12:00:00,0.00314350007101893,0.00304310000501573,0.00310309999622405,0.00314390007406473
2020-01-01 13:00:00,0.00320670008659363,0.00310069997794926,0.00317310006357729,0.00320590008050203
2020-01-01 14:00:00,0.00326939998194575,0.00315820006653666,0.00324340001679957,0.00326779996976256
2020-01-01 15:00:00,0.00333230011165142,0.00321589992381632,0.00331349996849895,0.00332950009033084
2020-01-01 16:00:00,0.00339219998568296,0.00327260000631213,0.00337540009059012,0.00338779995217919
2020-01-01 17:00:00,0.00345190009102225,0.00332950009033084,0.00343709997832775,0.00344630004838109
2020-01-01 18:00:00,0.0035111999604851,0.0033863999415189,0.00349880009889603,0.00350479991175234
2020-01-01 19:00:00,0.00352949998341501,0.0034066999796778,0.00351869990117848,0.00352709996514022
2020-01-01 20:00:00,0.00354749988764524,0.00342709990218282,0.00353870005346835,0.00354949990287423
2020-01-01 21:00:00,0.00356550002470613,0.00344750005751848,0.00355869997292757,0.00357230007648468
2020-01-01 22:00:00,0.00353590003214777,0.00341670005582273,0.00351709988899529,0.00353590003214777
2020-01-01 23:00:00,0.00350659992545843,0.003386199939996,0.00347579992376268,0.00349980010651052
2020-01-02 00:00:00,0.00347730005159974,0.00335570005699992,0.00343449995853007,0.00346409995108843
2020-01-02 01:00:00,0.00341599993407726,0.00329799996688962,0.00337640009820461,0.00340640009380877
2020-01-02 02:00:00,0.00335439993068576,0.00323999999091029,0.00331839988939464,0.00334919989109039
2020-01-02 03:00:00,0.00329270004294813,0.00318189989775419,0.00325990002602339,0.00329190003685653
2020-01-02 04:00:00,0.00328089995309711,0.00315569993108511,0.00324729993008077,0.00326130003668368
2020-01-02 05:00:00,0.00326870009303093,0.00312909996137023,0.0032347000669688,0.00323070003651083
2020-01-02 06:00:00,0.00325690000317991,0.00310289999470115,0.00322249997407198,0.00319970003329217
2020-01-02 07:00:00,0.00326119991950691,0.00311079993844032,0.00322679989039898,0.00320919998921454
2020-01-02 08:00:00,0.00326559995301068,0.00311839999631047,0.00323119992390275,0.00321840005926788
2020-01-02 09:00:00,0.00326999998651445,0.00312640005722642,0.00323559995740652,0.00322759989649057
2020-01-02 10:00:00,0.00327280000783503,0.003129200078547,0.00324840005487204,0.00323559995740652
2020-01-02 11:00:00,0.0032760004978627,0.00313200033269823,0.00326120038516819,0.00324320048093796
2020-01-02 12:00:00,0.00327920005656779,0.00313439988531172,0.00327400001697242,0.00325120007619262
2020-01-02 13:00:00,0.00338450004346669,0.00327969994395971,0.00339330011047423,0.00341610005125403
2020-01-02 14:00:00,0.00348960002884269,0.00342439999803901,0.00351239996962249,0.00358080002479255
2020-01-02 15:00:00,0.00359479989856482,0.00356959993951023,0.00363159994594753,0.00374560011550784
2020-01-02 16:00:00,0.00369490007869899,0.00369610008783638,0.00371449999511242,0.00387090002186596
2020-01-02 17:00:00,0.00379540002904832,0.0038222000002861,0.00379740004427731,0.00399619992822409
2020-01-02 18:00:00,0.00389560009352863,0.00394839979708195,0.00388039997778833,0.00412160018458962
