"dateTime","DLWRFsfc_110_SFC","DLWRFsfc_110_SFC.1","DLWRFsfc_110_SFC.2","DLWRFsfc_110_SFC.3"
2019-12-31 12:00:00,297.100036621094,292.950042724609,292.960052490234,294.980041503906
2019-12-31 13:00:00,297.100036621094,292.950042724609,292.960052490234,294.970031738281
2019-12-31 14:00:00,297.090026855469,292.950042724609,292.960052490234,294.970031738281
2019-12-31 15:00:00,311.609985351562,307.369995117188,308.230010986328,310.010009765625
2019-12-31 16:00:00,311.609985351562,307.369995117188,308.230010986328,310
2019-12-31 17:00:00,311.600006103516,307.369995117188,308.230010986328,310
2019-12-31 18:00:00,310.980010986328,306.910003662109,308.269989013672,309.920013427734
2019-12-31 19:00:00,310.970001220703,306.910003662109,308.269989013672,309.920013427734
2019-12-31 20:00:00,310.970001220703,306.910003662109,308.269989013672,309.920013427734
2019-12-31 21:00:00,298.600006103516,295.899993896484,291,296.440002441406
2019-12-31 22:00:00,298.600006103516,295.899993896484,291,296.440002441406
2019-12-31 23:00:00,298.609985351562,295.899993896484,291,296.440002441406
2020-01-01 00:00:00,291.410003662109,290.220001220703,279.989990234375,288.989990234375
2020-01-01 01:00:00,291.420013427734,290.209991455078,279.989990234375,289
2020-01-01 02:00:00,291.429992675781,290.200012207031,280,289
2020-01-01 03:00:00,283.940002441406,285.709991455078,272.209991455078,284.940002441406
2020-01-01 04:00:00,283.940002441406,285.709991455078,272.209991455078,284.950012207031
2020-01-01 05:00:00,283.950012207031,285.709991455078,272.209991455078,284.950012207031
2020-01-01 06:00:00,291.619995117188,291.019989013672,285.119995117188,292.600006103516
2020-01-01 07:00:00,291.619995117188,291.019989013672,285.119995117188,292.600006103516
2020-01-01 08:00:00,291.630004882812,291.019989013672,285.119995117188,292.600006103516
2020-01-01 09:00:00,286.470001220703,286.510009765625,280.619995117188,288.519989013672
2020-01-01 10:00:00,286.470001220703,286.510009765625,280.619995117188,288.519989013672
2020-01-01 11:00:00,286.480010986328,286.510009765625,280.630004882812,288.519989013672
2020-01-01 12:00:00,294,298.850006103516,282.869995117188,299.369995117188
2020-01-01 13:00:00,293.980010986328,298.859985351562,282.859985351562,299.369995117188
2020-01-01 14:00:00,293.970001220703,298.869995117188,282.859985351562,299.369995117188
2020-01-01 15:00:00,282.049987792969,291.089996337891,274.859985351562,294.410003662109
2020-01-01 16:00:00,282.029998779297,291.100006103516,274.859985351562,294.410003662109
2020-01-01 17:00:00,282.019989013672,291.100006103516,274.850006103516,294.410003662109
2020-01-01 18:00:00,281.700012207031,289.709991455078,275.869995117188,293.429992675781
2020-01-01 19:00:00,281.700012207031,289.709991455078,275.869995117188,293.429992675781
2020-01-01 20:00:00,281.700012207031,289.709991455078,275.869995117188,293.429992675781
2020-01-01 21:00:00,232.830001831055,232.440002441406,232.830001831055,236.380004882812
2020-01-01 22:00:00,232.850006103516,232.429992675781,232.839996337891,236.380004882812
2020-01-01 23:00:00,232.860000610352,232.419998168945,232.850006103516,236.380004882812
2020-01-02 00:00:00,219.5,218.949996948242,219.210006713867,222.539993286133
2020-01-02 01:00:00,219.509994506836,218.949996948242,219.210006713867,222.539993286133
2020-01-02 02:00:00,219.509994506836,218.949996948242,219.210006713867,222.539993286133
2020-01-02 03:00:00,218.720001220703,217.699996948242,218.869995117188,221.419998168945
2020-01-02 04:00:00,218.720001220703,217.699996948242,218.869995117188,221.429992675781
2020-01-02 05:00:00,218.720001220703,217.699996948242,218.869995117188,221.429992675781
2020-01-02 06:00:00,223.509994506836,222.050003051758,223.800003051758,225.830001831055
2020-01-02 07:00:00,223.509994506836,222.050003051758,223.800003051758,225.830001831055
2020-01-02 08:00:00,223.509994506836,222.039993286133,223.800003051758,225.830001831055
2020-01-02 09:00:00,226.979995727539,224.490005493164,227.289993286133,228.100006103516
2020-01-02 10:00:00,226.979995727539,224.479995727539,227.289993286133,228.100006103516
2020-01-02 11:00:00,226.979995727539,224.479995727539,227.289993286133,228.100006103516
2020-01-02 12:00:00,257.910003662109,258.269989013672,257.859985351562,262.940002441406
2020-01-02 13:00:00,257.880004882812,258.279998779297,257.850006103516,262.929992675781
2020-01-02 14:00:00,257.859985351562,258.299987792969,257.839996337891,262.929992675781
2020-01-02 15:00:00,278.839996337891,273.829986572266,281.079986572266,278.670013427734
2020-01-02 16:00:00,278.820007324219,273.839996337891,281.070007324219,278.670013427734
2020-01-02 17:00:00,278.790008544922,273.859985351562,281.059997558594,278.670013427734
2020-01-02 18:00:00,322.440002441406,315.820007324219,318.589996337891,317.730010986328
2020-01-02 19:00:00,322.429992675781,315.829986572266,318.589996337891,317.720001220703
2020-01-02 20:00:00,322.420013427734,315.829986572266,318.589996337891,317.720001220703
2020-01-02 21:00:00,341.559997558594,332,333.739990234375,331.399993896484
2020-01-02 22:00:00,341.579986572266,331.989990234375,333.739990234375,331.399993896484
2020-01-02 23:00:00,341.600006103516,331.980010986328,333.75,331.410003662109
2020-01-03 00:00:00,355.940002441406,349.829986572266,352.950012207031,352.920013427734
2020-01-03 01:00:00,355.940002441406,349.820007324219,352.950012207031,352.929992675781
2020-01-03 02:00:00,355.950012207031,349.820007324219,352.950012207031,352.929992675781
2020-01-03 03:00:00,355.920013427734,348.260009765625,353.019989013672,351.079986572266
2020-01-03 04:00:00,355.910003662109,348.269989013672,353.019989013672,351.079986572266
2020-01-03 05:00:00,355.910003662109,348.269989013672,353.019989013672,351.079986572266
2020-01-03 06:00:00,354.910003662109,346.890014648438,352.109985351562,349.630004882812
