"dateTime","DSWRFsfc_110_SFC","DSWRFsfc_110_SFC.1","DSWRFsfc_110_SFC.2","DSWRFsfc_110_SFC.3"
2020-08-12 15:00:00,503.332000732422,529.156005859375,497.476013183594,536.340026855469
2020-08-12 16:00:00,571.388977050781,600.716979980469,570.236999511719,611.085021972656
2020-08-12 17:00:00,597.429992675781,629.718017578125,591.27001953125,639.109985351562
2020-08-12 18:00:00,577.615051269531,589.695068359375,515.327087402344,561.791076660156
2020-08-12 19:00:00,539.606994628906,539.911010742188,483.351013183594,506.934997558594
2020-08-12 20:00:00,482.072998046875,483.256988525391,428.601013183594,451.225006103516
2020-08-12 21:00:00,341.462005615234,344.085998535156,320.805999755859,329.398010253906
2020-08-12 22:00:00,223.919006347656,222.686996459961,210.735000610352,214.302993774414
2020-08-12 23:00:00,123.486000061035,122.398002624512,116.061996459961,117.629997253418
2020-08-13 00:00:00,10.4479999542236,11.6960000991821,10.6239995956421,12.0480003356934
2020-08-13 01:00:00,0,0,0,0
2020-08-13 02:00:00,0,0,0,0
2020-08-13 03:00:00,0,0,0,0
2020-08-13 04:00:00,0,0,0,0
2020-08-13 05:00:00,0,0,0,0
2020-08-13 06:00:00,0,0,0,0
2020-08-13 07:00:00,0,0,0,0
2020-08-13 08:00:00,0,0,0,0
2020-08-13 09:00:00,0,0,0,0
2020-08-13 10:00:00,0,0,0,0
2020-08-13 11:00:00,32.0519981384277,31.2199993133545,30.6040000915527,30.0599994659424
2020-08-13 12:00:00,157.255996704102,160.072006225586,170.535995483398,167.455993652344
2020-08-13 13:00:00,269.328002929688,273.391998291016,292.399993896484,286.303985595703
2020-08-13 14:00:00,403.394012451172,408.514007568359,430.993988037109,426.450012207031
2020-08-13 15:00:00,491.860992431641,522.677001953125,524.932983398438,551.908996582031
2020-08-13 16:00:00,558.518981933594,593.526977539062,601.846984863281,628.982971191406
2020-08-13 17:00:00,583.981994628906,622.190002441406,624.078002929688,657.838012695312
2020-08-13 18:00:00,638.39501953125,612.827026367188,578.682983398438,577.931030273438
2020-08-13 19:00:00,596.140991210938,560.844970703125,542.557006835938,521.276977539062
2020-08-13 20:00:00,532.171020507812,501.627014160156,480.747009277344,463.658996582031
2020-08-13 21:00:00,354.226989746094,342.035003662109,363.923004150391,340.195007324219
2020-08-13 22:00:00,231.671005249023,220.759002685547,238.423004150391,220.727005004883
2020-08-13 23:00:00,126.803001403809,120.418998718262,130.339004516602,120.24299621582
2020-08-14 00:00:00,5.88800001144409,5.51999998092651,5.69600009918213,5.31199979782104
2020-08-14 01:00:00,0,0,0,0
2020-08-14 02:00:00,0,0,0,0
2020-08-14 03:00:00,0,0,0,0
2020-08-14 04:00:00,0,0,0,0
2020-08-14 05:00:00,0,0,0,0
2020-08-14 06:00:00,0,0,0,0
2020-08-14 07:00:00,0,0,0,0
2020-08-14 08:00:00,0,0,0,0
2020-08-14 09:00:00,0,0,0,0
2020-08-14 10:00:00,0,0,0,0
2020-08-14 11:00:00,14.5600004196167,15.7360000610352,16.4120006561279,16.9160003662109
2020-08-14 12:00:00,127.424003601074,131.975997924805,125.959999084473,131.944000244141
2020-08-14 13:00:00,219.167999267578,226.335998535156,216.863998413086,226.52799987793
2020-08-14 14:00:00,328.734008789062,338.717987060547,320.157989501953,337.902008056641
2020-08-14 15:00:00,490.467987060547,493.492004394531,496.627990722656,501.683990478516
2020-08-14 16:00:00,557.077026367188,560.533020019531,569.557006835938,571.893005371094
2020-08-14 17:00:00,582.494018554688,587.614013671875,590.590026855469,598.142028808594
2020-08-14 18:00:00,487.992004394531,519.703979492188,491,531.640014648438
2020-08-14 19:00:00,455.489013671875,475.424987792969,460.161010742188,479.296997070312
2020-08-14 20:00:00,406.320007324219,424.911987304688,407.407989501953,425.984008789062
2020-08-14 21:00:00,333.963012695312,308.699005126953,325.098999023438,294.282989501953
2020-08-14 22:00:00,217.804992675781,198.684997558594,212.397003173828,190.397003173828
2020-08-14 23:00:00,118.287002563477,107.518997192383,115.198997497559,102.911003112793
2020-08-15 00:00:00,3.85599994659424,3.59999990463257,4.55999994277954,3.90400004386902
2020-08-15 01:00:00,0,0,0,0
2020-08-15 02:00:00,0,0,0,0
2020-08-15 03:00:00,0,0,0,0
2020-08-15 04:00:00,0,0,0,0
2020-08-15 05:00:00,0,0,0,0
2020-08-15 06:00:00,0,0,0,0
2020-08-15 07:00:00,0,0,0,0
2020-08-15 08:00:00,0,0,0,0
2020-08-15 09:00:00,0,0,0,0
2020-08-15 10:00:00,0,0,0,0
2020-08-15 11:00:00,18.2159996032715,25.8560009002686,21.9640007019043,29.5200004577637
2020-08-15 12:00:00,96.1920013427734,115.688003540039,127,136.503997802734
2020-08-15 13:00:00,166.143997192383,199.231994628906,219.583999633789,235.328002929688
2020-08-15 14:00:00,249.585998535156,298.593994140625,324.641998291016,351.570007324219
2020-08-15 15:00:00,445.234985351562,480.898986816406,428.178985595703,483.859008789062
2020-08-15 16:00:00,505.825012207031,546.369018554688,491.200988769531,551.744995117188
2020-08-15 17:00:00,528.909973144531,572.781982421875,509.325988769531,577.070007324219
2020-08-15 18:00:00,388.786987304688,466.579010009766,482.595001220703,538.370971679688
2020-08-15 19:00:00,362.742004394531,426.630004882812,452.070007324219,485.174011230469
2020-08-15 20:00:00,323.308990478516,380.989013671875,399.933013916016,430.860992431641
2020-08-15 21:00:00,242.615005493164,213.591003417969,229.783004760742,197.335006713867
2020-08-15 22:00:00,157.75700378418,137.069000244141,149.692993164062,127.30899810791
2020-08-15 23:00:00,84.9850006103516,73.5770034790039,80.5370025634766,68.2490005493164
2020-08-16 00:00:00,5.72800016403198,5.80800008773804,6.19199991226196,6.06400012969971
2020-08-16 01:00:00,0,0,0,0
2020-08-16 02:00:00,0,0,0,0
2020-08-16 03:00:00,0,0,0,0
2020-08-16 04:00:00,0,0,0,0
2020-08-16 05:00:00,0,0,0,0
2020-08-16 06:00:00,0,0,0,0
2020-08-16 07:00:00,0,0,0,0
2020-08-16 08:00:00,0,0,0,0
2020-08-16 09:00:00,0,0,0,0
2020-08-16 10:00:00,0,0,0,0
2020-08-16 11:00:00,17.0279998779297,16.1399993896484,18.0960006713867,16.4039993286133
2020-08-16 12:00:00,91.568000793457,89.568000793457,96.7600021362305,91.6559982299805
2020-08-16 13:00:00,158.832000732422,154.912002563477,168.016006469727,158.688003540039
2020-08-16 14:00:00,238.975997924805,232.511993408203,248.783996582031,237.42399597168
2020-08-16 15:00:00,368.414001464844,353.661987304688,376.510009765625,357.694000244141
2020-08-16 16:00:00,418.679992675781,401.911987304688,432.023986816406,407.992004394531
2020-08-16 17:00:00,437.772003173828,421.324005126953,447.980010986328,426.700012207031
2020-08-16 18:00:00,755.028015136719,712.627990722656,738.2919921875,698.036010742188
2020-08-16 19:00:00,704.120971679688,651.304992675781,691.273010253906,628.760986328125
2020-08-16 20:00:00,627.0830078125,581.130981445312,611.051025390625,557.931030273438
2020-08-16 21:00:00,627.039978027344,638.463989257812,628.544006347656,634.047973632812
2020-08-16 22:00:00,406.544006347656,408.496002197266,408.239990234375,407.808013916016
2020-08-16 23:00:00,217.158996582031,217.382995605469,217.766998291016,216.727005004883
2020-08-17 00:00:00,4.12799978256226,4.49599981307983,4.25600004196167,4.6399998664856
2020-08-17 01:00:00,0,0,0,0
