"dateTime","PRESsfc_110_SFC","PRESsfc_110_SFC.1","PRESsfc_110_SFC.2","PRESsfc_110_SFC.3"
2020-05-28 12:00:00,97768.203125,97013.6171875,97222.921875,98103.5625
2020-05-28 13:00:00,97799.5,97042.3828125,97252.296875,98122.703125
2020-05-28 14:00:00,97830.6171875,97070.9375,97281.5,98142.296875
2020-05-28 15:00:00,97862.09375,97099.8515625,97311.046875,98162.25
2020-05-28 16:00:00,97792.0234375,97037.4609375,97244.8203125,98096.0234375
2020-05-28 17:00:00,97721.8828125,96975.6171875,97177.8828125,98029.71875
2020-05-28 18:00:00,97651.703125,96913.140625,97110.8984375,97964.0234375
2020-05-28 19:00:00,97598,96861.359375,97057.84375,97910.9609375
2020-05-28 20:00:00,97543.65625,96810.21875,97004.78125,97857.8984375
2020-05-28 21:00:00,97489.21875,96758.9765625,96951.6171875,97805.3828125
2020-05-28 22:00:00,97531.796875,96796.4375,96992.28125,97845.3984375
2020-05-28 23:00:00,97574.28125,96833.796875,97032.84375,97885.3203125
2020-05-29 00:00:00,97616.7578125,96871.15625,97072.7578125,97925.2421875
2020-05-29 01:00:00,97685.640625,96940.0390625,97150.6015625,98005
2020-05-29 02:00:00,97754.421875,97009.4609375,97228.34375,98085.296875
2020-05-29 03:00:00,97824.078125,97078.4765625,97305.6796875,98165.203125
2020-05-29 04:00:00,97782.90625,97025.7890625,97251.7109375,98107.390625
2020-05-29 05:00:00,97742.359375,96973.71875,97197.71875,98049.5625
2020-05-29 06:00:00,97701.7265625,96920.90625,97143.6484375,97991.6484375
2020-05-29 07:00:00,97718.1015625,96946.8984375,97164.5,98023.3828125
2020-05-29 08:00:00,97735.0234375,96972.140625,97185.2578125,98055.0234375
2020-05-29 09:00:00,97751.953125,96997.390625,97206.671875,98086.671875
2020-05-29 10:00:00,97749.3671875,97000.546875,97206.6484375,98087.2890625
2020-05-29 11:00:00,97746.6796875,97003.640625,97206.5234375,98087.796875
2020-05-29 12:00:00,97744.1015625,97006.1796875,97205.859375,98088.421875
2020-05-29 13:00:00,97709.2109375,96980.2265625,97174.8125,98058.0078125
2020-05-29 14:00:00,97674,96954,97143.4375,98027.28125
2020-05-29 15:00:00,97638.5,96928.1015625,97111.78125,97996.8984375
2020-05-29 16:00:00,97583.5625,96864.203125,97052.359375,97926.6015625
2020-05-29 17:00:00,97528.6171875,96799.65625,96992.296875,97855.65625
2020-05-29 18:00:00,97473.578125,96735.65625,96932.78125,97785.2578125
2020-05-29 19:00:00,97467.3203125,96737.078125,96938.0390625,97794.359375
2020-05-29 20:00:00,97461.15625,96738.6015625,96944.0390625,97803.5625
2020-05-29 21:00:00,97454.8984375,96740.65625,96949.296875,97812.65625
2020-05-29 22:00:00,97496.296875,96769.8984375,96977.8984375,97836.78125
2020-05-29 23:00:00,97538.3515625,96798.5078125,97005.8671875,97860.90625
2020-05-30 00:00:00,97580.28125,96827.640625,97033.71875,97884.921875
2020-05-30 01:00:00,97602.7578125,96842.4375,97053,97903.5625
2020-05-30 02:00:00,97624.9375,96857.578125,97072.6171875,97921.8984375
2020-05-30 03:00:00,97647.5703125,96871.890625,97092.046875,97940.6875
2020-05-30 04:00:00,97618.9375,96842.6171875,97062.78125,97911.421875
2020-05-30 05:00:00,97590.21875,96812.6171875,97033.421875,97882.703125
2020-05-30 06:00:00,97562.2421875,96782.71875,97004.796875,97852.796875
2020-05-30 07:00:00,97548.7578125,96764.7578125,96988.7578125,97837.3984375
2020-05-30 08:00:00,97534.65625,96746.796875,96973.3828125,97820.7421875
2020-05-30 09:00:00,97521.15625,96728.84375,96957.9609375,97804.6796875
2020-05-30 10:00:00,97571.7578125,96782.640625,97009.84375,97857.203125
2020-05-30 11:00:00,97622.4609375,96837.1796875,97061.8203125,97909.8203125
2020-05-30 12:00:00,97673.15625,96891.078125,97113.796875,97961.796875
2020-05-30 13:00:00,97597.7421875,96835.5,97047.34375,97907.5
2020-05-30 14:00:00,97522.0234375,96778.9765625,96980.578125,97852.2578125
2020-05-30 15:00:00,97446.7421875,96722.8984375,96914.2578125,97797.4609375
2020-05-30 16:00:00,97451.0234375,96720.78125,96914.703125,97788.296875
