par,lb,ub,x0
Knitrif,1,80,30
theta_nitrif,1,1.15,1.08
Kanmx_amm,0.001,5,2
Rdnra,1.00E-04,2,0.001
Kdnra_oxy,0.01,5,2
Fsed_amm,1,30,10
Fsed_amm,0.1,10,1
Ksed_amm,1,30,10
theta_sed_amm,1,1.15,1.08
Rnitrif,0.001,1,0.011
theta_denit,1,1.15,1.08
Ksed_nit,10,210,100
