Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Ksed_ch4,theta_sed_ch4
6258.24028862392,2393172.51852382,-1576100.76287909,224645.469136868,3793037.78311823,-6608.12304747244
9221.18528651446,-2463.28140304408,971.240768206772,232529.890793396,-3789554.14352775,-19613.9533462202
4178.50831821095,-535806.424751419,-174.360576727117,3291048.4961349,2195006.26322904,-552635.107001084
