DateTime,lw_factor,sed_temp_mean,sed_temp_mean.1,sed_temp_mean.2,sed_temp_mean.3,RMSE
2024-02-29 17:06:10,0.75,4.5,13,17,20.7744587911015,3.29825402299118
2024-02-29 17:05:36,0.851189420392194,4.71731308824634,9.43984094337737,15.0153054134216,19.083929218068,2.88271114390452
2024-02-29 17:05:01,0.852365318045442,4.58530070565687,13,17,18,3.03084964906822
2024-02-29 17:04:26,0.841852877760545,7.30790005247388,9.55585391771914,15.2688692188768,18,2.66771080566809
2024-02-29 17:03:51,0.77864746383779,7.34230323705193,10.8810236825549,13.5036713508779,18,2.84662858339031
2024-02-29 17:03:15,0.793006628507772,9,12.2378829648663,15.2681151660431,18,2.96487251530698
2024-02-29 17:02:39,0.897788294373538,6.21680315233317,9.49606251319579,15.8830654183732,18,2.66485391474529
2024-02-29 17:02:05,0.986710163381115,4.77762333462636,8.2265275090468,12.1575749003867,18.4715533024822,2.83840564115472
2024-02-29 17:01:30,0.75,8.34999713532228,13,13.9177753697624,22,3.07170783801597
2024-02-29 17:00:54,0.911180441502982,6.00234703255973,10.7331380624997,17,18.4030025877861,2.74178083236624
2024-02-29 17:00:20,0.75,9,8.42595199176538,13.7144265533199,18,2.87959985907708
2024-02-29 16:59:45,0.76610823450089,8.49939959267461,8.72706266329425,12,18,2.79979046084701
2024-02-29 16:59:08,0.765668871649491,6.13973885193809,8,16.7170252379979,18.1692536379429,2.90448011408046
2024-02-29 16:58:32,0.903974089552019,4.5,8,12.8367628985149,18,2.90301207738741
2024-02-29 16:57:58,1.23403858766819,8.06959148112018,8.73160098530601,17,19.9897641230121,3.24466357486154
2024-02-29 16:57:22,1.01565834670373,5.78230716099421,9.16474902353585,15.6003421246506,18.2538799936892,2.75692374191429
2024-02-29 16:56:46,0.75,5.17466337478035,10.1531304154437,17,19.1685240610626,3.06644242937816
2024-02-29 16:56:11,0.75,4.5,9.15101797510796,13.4225387739351,21.5953709784477,3.15789657588962
2024-02-29 16:55:36,0.75,4.74030655786511,8,17,22,3.11609604484307
2024-02-29 16:55:01,0.899162877554639,7.66729019410684,12.8483006768751,12,20.4188790001163,2.85515604602438
2024-02-29 16:54:26,0.75,7.41912677185962,8,15.9034523269539,22,2.80212150674684
2024-02-29 16:53:50,0.85269376899012,8.62281297961436,11.4647088368213,15.7326526042014,20.5588856366694,2.79687994577385
2024-02-29 16:53:14,0.990699128145042,5.56996697358868,9.9716591641194,13.8066635409948,18,2.77492184853155
2024-02-29 16:52:40,0.75,7.30292156375781,10.7289670799668,16.0630222586241,21.197748433015,2.91725514144481
2024-02-29 16:52:05,1.25,5.18939039121603,11.3965839201432,17,22,3.38057299636248
2024-02-29 16:51:31,0.988418275525167,8.18815613797979,13,16.5808221664951,22,2.9989442887028
2024-02-29 16:50:58,0.828540131736933,7.90905892782843,13,16.0360593352683,20.8171717837765,2.93886857710816
2024-02-29 16:50:22,0.75,8.16447550623347,8.44798112962784,16.5565474610736,20.8457341603943,2.83633608347957
2024-02-29 16:49:47,0.866376251382931,6.08590299522274,8,13.8157251423388,18,2.70909222495507
2024-02-29 16:49:11,1.03458735011769,8.91762822626762,11.054049727644,17,21.7142331601713,2.95454751156292
2024-02-29 16:48:35,1.25,4.5,13,17,22,3.50718064668817
2024-02-29 16:47:50,0.996859702177544,5.00013035393072,13,15.9302683125914,21.3691228203497,2.99896070416357
2024-02-29 16:47:08,0.75,9,13,16.6983959948697,22,3.1135451504613
2024-02-29 16:46:30,1.25,6.05363513644423,9.82722517093328,12.7632726719252,18.8285579507591,3.28202350217639
2024-02-29 16:45:53,0.82291759845,8.78491853018987,13,15.7372514197828,22,2.98867060552382
2024-02-29 16:45:14,0.845701881414883,6.83606947104342,10.1028098305856,17,22,2.69320281022585
2024-02-29 16:44:38,1.07947464590207,5.2211168640094,10.3101584139399,16.1558899681422,20.9979629018419,2.91717700388948
2024-02-29 16:43:56,1.13140506524896,9,13,17,22,3.33763550327408
2024-02-29 16:43:17,0.8222533633519,6.26947484850715,13,15.6426830825062,19.5743862033945,2.97443759397844
2024-02-29 16:42:37,0.75,5.78136527895995,8,16.474808985828,18,3.01208497875809
2024-02-29 16:41:51,0.75,8.42030375618407,13,17,22,3.09683926971381
2024-02-29 16:41:05,0.840528649579235,9,11.6736094498632,17,22,2.84611292830621
2024-02-29 16:40:18,0.842481449031952,5.72992428760893,13,17,21.4733868218011,2.93592557750527
2024-02-29 16:39:35,0.75,8.99803861078491,13,17,22,3.11240210093532
2024-02-29 16:38:53,0.75,4.5,13,16.7423797008847,22,3.25658156554095
2024-02-29 16:38:12,0.75,9,13,17,22,3.12188274595383
2024-02-29 16:37:24,0.848082301257133,5.4359762957393,13,17,22,2.95317697671532
2024-02-29 16:36:27,0.778420760154586,8.61017050629589,13,17,22,3.03079687847948
