Fsed_oxy,Fsed_oxy,Ksed_oxy,theta_sed_oxy
-5670548.61725249,-336371.93435863,-4628.7793390993,-17941.9275856358
-5529363.48254105,1838024.15474505,6777.47104486078,34536.9359016586
1084380.71546407,-5660.46417201171,6651.1660057758,58977.2423472968
