Rdom_minerl,Rpom_hydrol,theta_minerl,theta_hydrol,Kdom_minerl,Kpom_hydrol,Fsed_doc
-2233023.83704754,0,29282.760893766,6056.0508689226,-11778.7749752997,6712.12238241434,1527304.09813342
-1947342.93253253,0,149267.867749442,25023.7814667395,-1849.92003877791,-46692.2780643167,1381733.35135436
-1230340.16820179,0,-116321.131461341,23976.2854254421,-7092.65447291138,-26392.2484378916,1609012.67749543
