Rnitrif,Knitrif,theta_nitrif,Rnh4o2,Rno2o2,Ranammox,Kanmx_nit,Rdenit,Kdenit,theta_denit,Rdnra,Kdnra_oxy,Fsed_nit,Ksed_nit,theta_sed_nit
761686927.758826,-119435903.290019,-848153860.860788,0,0,-294335619.557587,-360450721.798071,-1408905420.30216,-924756750.274447,1657483010.15894,-819885610.216104,-1291969762.23057,-420950943.138319,5289435422.15983,2287416516.23929
3498911602.19099,-57804913.5203161,-55601101.7792737,0,589910619.207079,-364188136.416448,49899058.8100011,3789472716.77243,491267003.638235,-382528457.561665,373096382.380411,-298433524.196017,19825506.4059335,3768365924.80616,-63374909.8335053
630347262.216924,115707203.987466,-649639517.003876,0,0,-211232692.168725,-881729266.511998,636174709.347855,-15116834620.7004,-195953960.036607,309804755.755948,24675557524.408,511850465.873763,5827639977.10159,618997564.143458
