Rgrz_zoo,theta_grz_zoo,Rresp_zoo,Rmort_zoo
15510.910772721,1580.28421761658,0,11864.6848228452
1562.6853638123,0,-3646.22594987576,17.5988538042857
18370.0200698336,-3646.22594987576,-14723.7941199579,-3646.22594987576
