Rgrz_zoo,theta_grz_zoo,Rresp_zoo,Rmort_zoo
0,22814.5650465829,0,0
46434.8455098993,-35684.1793569619,3011.77236220607,0
0,10750.6661529373,22814.5650465829,-22814.5650465829
