Rnitrif,Knitrif,theta_nitrif,Rnh4o2,Rnh4no2,Ranammox,Kanmx_amm,Rdnra,Kdnra_oxy,Fsed_amm,Ksed_amm,theta_sed_amm
44326866641.0453,701851316.098377,27568723421.3967,0,0,9928920000.13601,-29009245414.8729,-8128310947.00593,-649015.29625624,5752368375.73809,189540935952.942,-30024634554.5353
175281593026.016,-70112484564.1672,-36423718502.0781,0,0,17367264586.0791,-34037815125.1571,18376064069.4198,0,-18891876195.6018,-61727025859.8074,10148500926.6342
-1828748.03347199,-1048900.2333804,-72129095996.6891,72510055316.042,0,514430.684106264,889630.352168082,-71290587025.9796,-20936657511.5258,59664723896.2746,190853152338.968,-12092708644.2996
