DateTime,Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Fsed_ch4.1,Ksed_ch4,theta_sed_ch4,RMSE
2021-04-20 11:40:00,1e-04,5,1.2,300,0.001,100,0.85,32153.5226808291
2021-04-20 11:39:34,1e-04,5,0.9,0.001,0.001,100,0.85,120.841864814641
2021-04-20 11:39:09,5,1e-04,1.2,300,0.001,100,0.85,9612.70355579935
2021-04-20 11:38:42,1e-04,5,1.07570181129809,0.001,300,0.001,1.15,120.929388156202
2021-04-20 11:38:16,5,5,1.2,0.001,0.001,100,1.15,120.934515002207
2021-04-20 11:37:50,5,5,1.2,300,300,100,0.85,45594.861844322
2021-04-20 11:37:25,5,1e-04,1.2,0.001,300,29.7093895292817,0.85,120.935654060921
2021-04-20 11:36:59,5,1e-04,1.2,300,0.001,0.001,1.15,120.924573226086
2021-04-20 11:36:33,5,5,1.2,300,300,0.001,1.15,120.802580636884
2021-04-20 11:36:07,1e-04,1e-04,1.2,0.001,0.001,0.001,0.85,120.930029571572
2021-04-20 11:35:41,5,1e-04,1.2,300,0.001,0.001,1.15,120.924573226086
2021-04-20 11:35:15,1e-04,1e-04,1.2,0.001,0.001,0.001,1.15,120.931221539662
2021-04-20 11:34:49,1e-04,1e-04,1.2,300,300,0.001,1.15,120.604870138377
2021-04-20 11:34:23,5,5,0.9,219.885385660432,300,0.001,0.85,29381.924227356
2021-04-20 11:33:58,1e-04,5,0.9,0.001,300,0.001,0.85,120.929336211526
2021-04-20 11:33:32,1e-04,5,1.2,0.001,300,100,1.15,119.64674952467
2021-04-20 11:33:06,5,1e-04,0.9,0.001,300,0.001,1.15,120.93719893153
2021-04-20 11:32:41,1e-04,5,1.2,300,0.001,100,0.85,32153.5226808291
2021-04-20 11:32:15,5,5,0.9,0.001,0.001,100,0.85,120.890224381268
2021-04-20 11:31:48,5,5,0.9,300,300,100,1.15,1250.46414722855
2021-04-20 11:31:23,5,1e-04,0.9,0.001,0.001,0.001,1.15,120.937198719713
2021-04-20 11:30:57,1e-04,1e-04,1.2,300,0.001,100,0.85,33527.0915112612
2021-04-20 11:30:31,5,5,1.2,0.001,300,0.001,0.85,120.93717635822
2021-04-20 11:30:05,5,1e-04,1.2,0.001,0.001,100,1.15,120.93698698503
2021-04-20 11:29:39,5,5,0.9,300,0.001,0.001,1.15,120.827829154352
2021-04-20 11:29:13,1e-04,1e-04,1.2,0.001,300,100,0.85,110.278746134724
2021-04-20 11:28:47,1e-04,5,0.9,0.001,300,0.001,1.15,120.930539793056
2021-04-20 11:28:21,4.89650508767886,5,1.2,0.001,0.001,100,1.15,120.934475151581
2021-04-20 11:27:56,5,1e-04,0.9,300,0.001,0.001,1.15,120.935754462334
2021-04-20 11:27:30,5,1e-04,1.2,0.001,0.001,0.001,0.85,120.937193079132
2021-04-20 11:27:05,5,5,0.9,300,0.001,100,1.15,1227.64175255126
2021-04-20 11:26:39,1e-04,1e-04,1.2,0.001,300,0.001,1.15,120.929060214221
2021-04-20 11:26:14,5,5,1.2,0.001,300,100,1.15,235.451963805766
2021-04-20 11:25:49,1e-04,1e-04,1.2,300,300,0.001,0.85,221.233750227039
2021-04-20 11:25:23,1e-04,1e-04,0.9,300,300,0.001,0.85,219.663362027147
2021-04-20 11:24:57,5,1e-04,1.2,300,0.001,100,0.85,9612.70355579935
2021-04-20 11:24:31,1.26376753935245,1e-04,1.2,0.001,0.001,0.001,1.15,120.937176151579
2021-04-20 11:24:05,1e-04,1e-04,0.9,88.1773171513551,0.001,100,0.85,10111.459307744
2021-04-20 11:23:39,5,5,1.2,0.001,300,100,1.15,235.451963805766
2021-04-20 11:23:14,5,1e-04,0.9,0.001,0.001,100,1.15,120.93718532649
2021-04-20 11:22:48,1e-04,1e-04,1.2,300,0.001,100,1.15,1149.7362948164
2021-04-20 11:22:22,1e-04,1e-04,0.9,0.001,0.001,0.001,0.85,120.927868256827
2021-04-20 11:21:56,5,1e-04,1.2,0.001,0.001,100,0.85,120.933298118399
2021-04-20 11:21:30,1e-04,1e-04,0.9,300,300,0.001,0.85,219.663362027147
2021-04-20 11:21:04,5,1e-04,1.2,300,0.001,100,1.15,84.3798762339957
2021-04-20 11:20:39,5,1e-04,0.9,0.001,300,100,0.85,121.014147284037
2021-04-20 11:20:13,1e-04,5,0.9,0.001,0.001,100,0.85,120.841864814641
2021-04-20 11:19:48,5,1e-04,1.2,0.001,300,100,1.15,120.97513054375
2021-04-20 11:19:22,1e-04,1e-04,0.9,300,0.001,0.001,1.15,120.620803262523
2021-04-20 11:18:56,5,1e-04,1.2,300,0.001,0.001,0.85,17747.2770466696
2021-04-20 11:18:31,1e-04,5,0.9,0.001,0.001,100,1.15,120.927756862569
2021-04-20 11:18:05,1e-04,5,0.9,300,300,100,0.85,34973.5063255194
2021-04-20 11:17:39,1e-04,5,1.2,0.001,0.001,0.001,1.15,120.927186582061
2021-04-20 11:17:13,1e-04,1e-04,0.9,300,0.001,100,1.15,1143.06591681396
2021-04-20 11:16:42,5,5,0.9,0.001,0.001,0.001,1.15,120.937198397339
2021-04-20 11:16:15,5,1e-04,0.9,0.001,300,0.001,1.15,120.93719893153
2021-04-20 11:15:49,1e-04,5,0.9,0.001,300,100,1.15,125.522863178709
2021-04-20 11:15:23,1e-04,5,1.2,0.001,0.001,100,0.85,120.849362848636
2021-04-20 11:14:57,5,1e-04,1.2,300,0.001,0.001,0.85,17747.2770466696
2021-04-20 11:14:31,5,1e-04,1.2,300,300,100,0.85,17653.5146378268
2021-04-20 11:14:05,1e-04,1e-04,1.2,300,0.001,0.001,1.15,120.608780322061
2021-04-20 11:13:40,1e-04,5,0.9,300,300,100,0.85,34973.5063255194
2021-04-20 11:13:14,5,5,0.9,300,0.001,100,1.15,1227.64175255126
2021-04-20 11:12:48,5,1e-04,1.2,0.001,300,0.001,0.85,120.937194249323
2021-04-20 11:12:23,1e-04,1e-04,1.2,300,0.001,0.001,1.15,120.608780322061
2021-04-20 11:11:57,1e-04,5,1.2,300,300,100,1.15,1160.64868044785
2021-04-20 11:11:31,1e-04,5,0.9,300,0.001,100,1.15,1152.20531890886
2021-04-20 11:11:05,1e-04,1e-04,1.2,0.001,300,100,1.15,121.273579940735
2021-04-20 11:10:39,1e-04,1e-04,0.9,0.001,300,0.001,0.85,120.930310539063
2021-04-20 11:10:14,1e-04,5,1.2,300,0.001,100,0.85,32153.5226808291
2021-04-20 11:09:48,5,5,1.2,300,0.001,100,0.85,45311.7399351858
2021-04-20 11:09:22,1e-04,1e-04,0.9,300,300,100,0.85,37221.5465635197
2021-04-20 11:08:57,5,5,0.9,300,0.001,0.001,1.15,120.827829154352
2021-04-20 11:08:31,5,1e-04,1.2,0.001,300,0.001,1.15,120.937195888469
2021-04-20 11:08:05,1e-04,5,0.9,300,0.001,0.001,0.85,228.533773130325
2021-04-20 11:07:40,1e-04,1e-04,0.9,0.001,300,0.001,1.15,120.93153986421
2021-04-20 11:07:13,1e-04,1e-04,0.9,0.001,0.001,100,1.15,120.926316448595
2021-04-20 11:06:47,1e-04,5,1.2,0.001,0.001,0.001,0.85,120.929689650886
2021-04-20 11:06:22,1e-04,1e-04,0.9,300,300,100,0.85,37221.5465635197
2021-04-20 11:05:56,1e-04,1e-04,0.9,0.001,0.001,0.001,0.85,120.927868256827
2021-04-20 11:05:31,5,5,0.9,0.001,0.001,100,1.15,120.934850912212
2021-04-20 11:05:05,5,5,0.9,0.001,0.001,0.001,1.15,120.937198397339
2021-04-20 11:04:39,1e-04,5,1.2,300,300,0.001,0.85,228.081466812461
2021-04-20 11:04:13,5,1e-04,0.9,0.001,0.001,100,0.85,120.937010471389
2021-04-20 11:03:47,1e-04,1e-04,0.9,0.001,0.001,0.001,0.85,120.927868256827
2021-04-20 11:03:21,5,5,0.9,0.001,0.001,100,0.85,120.890224381268
2021-04-20 11:02:55,5,5,1.2,300,300,0.001,1.15,120.802580636884
2021-04-20 11:02:30,5,5,1.2,300,0.001,0.001,1.15,120.791887862673
2021-04-20 11:02:03,5,5,0.9,0.001,300,0.001,1.15,120.93719652069
