Rdom_minerl,Rpom_hydrol,theta_minerl,theta_hydrol,Kdom_minerl,Kpom_hydrol,Rdomr_minerl,Rcpom_bdown,w_pom,sedimentOMfrac,Fsed_doc
36302.4383734502,0,545694.151666958,-58746.501377855,108875.497314064,129059.645777332,-6800169.1778631,0,0,0,13269.6550922377
446.952942055565,0,34311.3801162977,6538.40864318474,-14778.712099964,29217.1720886635,10464173.7105022,42103.9419841257,0,0,-61714.6446576657
31434.6801481501,20465.2067647754,584482.335316558,1662.77477112328,-116962.626427062,70248.245103354,6898209.2457775,0,0,0,-50996.3532616074
