DateTime,Fsed_oxy,RMSE
2023-03-14 12:32:19,-23.8108432603808,-4.49636967876502
2023-03-14 12:32:15,-23.8108432603808,-4.49636967876502
2023-03-14 12:32:09,-23.8108414965883,-4.49036794307244
2023-03-14 12:32:04,-23.810841408199,-4.49043781297374
2023-03-14 12:31:59,-23.810839698282,-4.49336434863941
2023-03-14 12:31:53,-23.8108417285897,-4.49226404010325
2023-03-14 12:31:47,-23.8108379091789,-4.49536730176825
2023-03-14 12:31:42,-23.8108377342307,-4.4933982482231
2023-03-14 12:31:36,-23.8108432603808,-4.49636967876502
2023-03-14 12:31:30,-23.8108371303303,-4.49485615573528
2023-03-14 12:31:24,-23.8108419154084,-4.49323823570733
2023-03-14 12:31:17,-23.8108427250472,-4.49420204229936
2023-03-14 12:31:12,-23.8108410243804,-4.49650760759607
2023-03-14 12:31:08,-23.8108393317786,-4.49700829863743
2023-03-14 12:31:04,-23.8108373236686,-4.49189161526608
2023-03-14 12:30:59,-23.8108428069804,-4.49305173113371
2023-03-14 12:30:55,-23.8108370179994,-4.49605606988148
2023-03-14 12:30:49,-23.8108395880169,-4.49483730292014
2023-03-14 12:30:43,-23.8108391283105,-4.4938887689006
2023-03-14 12:30:39,-23.8108401280491,-4.49158929063819
2023-03-14 12:30:34,-23.810841574004,-4.49505515906466
2023-03-14 12:30:28,-23.8108394487707,-4.49568255104665
2023-03-14 12:30:23,-23.8108401661714,-4.49337834054158
2023-03-14 12:30:19,-23.8108388886706,-4.49381002076813
2023-03-14 12:30:15,-23.8108378149775,-4.49856679154573
2023-03-14 12:30:10,-23.8108382592459,-4.49313688690708
2023-03-14 12:30:06,-23.8108427249995,-4.49544578199505
2023-03-14 12:30:02,-23.8108402053067,-4.49510413703673
2023-03-14 12:29:57,-23.810840855755,-4.49481996847967
2023-03-14 12:29:53,-23.8108401722573,-4.49563654620332
2023-03-14 12:29:48,-23.8108393491103,-4.49710836513596
2023-03-14 12:29:44,-23.8108386326924,-4.49639719841961
2023-03-14 12:29:39,-23.810839134119,-4.49365961090268
2023-03-14 12:29:34,-23.8108386752448,-4.49475894088494
2023-03-14 12:29:28,-23.8108367864072,-4.49455428610253
2023-03-14 12:29:23,-23.8108391425106,-4.49457770868481
2023-03-14 12:29:18,-23.8108402860519,-4.49586757933083
2023-03-14 12:29:14,-23.8108389610586,-4.49475638407596
