"DateTime","Depth","SIL_rsi"
2014-04-16,0,71.8474367509987
2014-04-16,4,69.2727030625832
2014-04-16,8,91.8147802929427
2014-04-16,12,51.8207723035952
2014-04-30,0,-0.471138482023968
2014-04-30,4,66.0619507323569
2014-05-14,0,79.9665279627164
2014-05-14,4,126.594940079893
2014-05-14,8,32.7561917443409
2014-05-14,12,32.7561917443409
2014-05-29,0,109.386018641811
2014-05-29,4,168.575532623169
2014-05-29,12,30.1887816245007
2014-06-04,0,90.2119507323569
2014-06-04,4,149.401464713715
2014-06-04,8,66.3640479360852
2014-06-04,12,60.2003661784288
2014-06-18,0,60.2003661784288
2014-06-18,4,77.7071238348868
2014-06-18,12,59.8195739014647
2014-06-25,0,140.231258322237
2014-06-25,4,63.5349866844208
2014-06-25,12,68.2315079893475
2014-07-02,0,93.9962716378162
2014-07-02,4,79.4529960053262
2014-07-02,8,65.6368841544607
2014-07-02,12,40.9133155792277
2014-07-09,0,141.989081225033
2014-07-09,4,70.7270306258322
2014-07-09,8,46.7306258322237
2014-07-09,12,53.2750998668442
2014-07-16,0,63.4553928095872
2014-07-16,4,46.0034620505992
2014-07-16,8,100.540745672437
2014-07-16,12,49.6392809587217
2014-07-30,4,93.9962716378162
2014-07-30,8,38.0046604527297
2014-07-30,12,43.8219707057257
2014-09-04,0,142.719640479361
2014-09-04,4,68.9546937416778
2014-09-04,8,76.9097370173103
2014-09-04,12,70.4010652463382
2014-09-25,0,115.961767643142
2014-09-25,4,148.505126498003
2014-09-25,8,75.4633655126498
2014-09-25,12,82.6952230359521
