DateTime,Depth,surface_height
1/11/2016,11.3,11.3
1/12/2016,11.3,11.3
1/13/2016,11.3,11.3
1/14/2016,11.2,11.2
1/15/2016,11.2,11.2
1/16/2016,11.2,11.2
1/17/2016,11.2,11.2
1/18/2016,11.2,11.2
1/19/2016,11.2,11.2
1/20/2016,11.2,11.2
1/21/2016,11.2,11.2
1/22/2016,11.2,11.2
1/23/2016,11.2,11.2
1/24/2016,11.2,11.2
1/25/2016,11.2,11.2
1/26/2016,11.2,11.2
1/27/2016,11.2,11.2
1/28/2016,11.3,11.3
1/29/2016,11.3,11.3
1/30/2016,11.3,11.3
1/31/2016,11.3,11.3
2/1/2016,11.3,11.3
2/2/2016,11.3,11.3
2/3/2016,11.3,11.3
2/4/2016,11.3,11.3
2/5/2016,11.3,11.3
2/6/2016,11.3,11.3
2/7/2016,11.3,11.3
2/8/2016,11.3,11.3
2/9/2016,11.3,11.3
2/10/2016,11.3,11.3
2/11/2016,11.3,11.3
2/12/2016,11.3,11.3
2/13/2016,11.3,11.3
2/14/2016,11.4,11.4
2/15/2016,11.4,11.4
2/16/2016,11.4,11.4
2/17/2016,11.5,11.5
2/18/2016,11.5,11.5
2/19/2016,11.5,11.5
2/20/2016,11.6,11.6
2/21/2016,11.6,11.6
2/22/2016,11.6,11.6
2/23/2016,11.7,11.7
2/24/2016,11.7,11.7
2/25/2016,11.7,11.7
2/26/2016,11.7,11.7
2/27/2016,11.6,11.6
2/28/2016,11.6,11.6
2/29/2016,11.6,11.6
3/1/2016,11.5,11.5
3/2/2016,11.5,11.5
3/3/2016,11.5,11.5
3/4/2016,11.6,11.6
3/5/2016,11.6,11.6
3/6/2016,11.6,11.6
3/7/2016,11.7,11.7
3/8/2016,11.7,11.7
3/9/2016,11.7,11.7
3/10/2016,11.7,11.7
3/11/2016,11.7,11.7
3/12/2016,11.8,11.8
3/14/2016,11.8,11.8
3/15/2016,11.8,11.8
3/16/2016,11.8,11.8
3/17/2016,11.8,11.8
3/18/2016,11.8,11.8
3/19/2016,11.8,11.8
3/20/2016,11.8,11.8
3/21/2016,11.7,11.7
