DateTime,Depth,PHY_tchla
2016-06-16,5,1.7305
2016-06-16,6,2.4922
2016-06-16,7,7.8514
2016-06-16,8,12.1831
2016-06-16,9,5.7666
2016-06-16,10,3.1106
2016-06-16,11,3.0563
2016-06-23,0.1,2.4143
2016-06-23,1,2.4225
2016-06-23,2,2.519
2016-06-23,3,2.4324
2016-06-23,4,2.2652
2016-06-23,5,3.1151
2016-06-23,6,2.0117
2016-06-23,7,1.9482
2016-06-23,8,2.5943
2016-06-23,9,11.6498
2016-06-23,10,3.5042
2016-06-23,11,3.3351
2016-06-26,0.1,1.4518
2016-06-26,1,1.7816
2016-06-26,2,3.3824
2016-06-26,3,3.8569
2016-06-26,4,4.5591
2016-06-26,5,3.632
2016-06-26,6,3.6331
2016-06-26,7,2.8975
2016-06-26,8,1.7801
2016-06-26,9,11.2086
2016-06-26,10,3.2153
2016-06-26,11,3.3746
2016-06-28,0.1,1.9081
2016-06-28,1,2.0716
2016-06-28,2,2.3396
2016-06-28,3,2.6438
2016-06-28,4,3.4442
2016-06-28,5,5.3254
2016-06-28,6,4.844
2016-06-28,7,5.1509
2016-06-28,8,6.3265
2016-06-28,9,4.7089
2016-06-28,10,3.6085
2016-06-28,11,3.5532
2016-06-30,0.1,0.6361
2016-06-30,1,0.6894
2016-06-30,2,3.0642
2016-06-30,3,4.1956
2016-06-30,4,6.7321
2016-06-30,5,3.9167
2016-06-30,6,4.7281
2016-06-30,7,5.355
2016-06-30,8,7.0207
2016-06-30,9,5.6151
2016-06-30,10,3.5517
2016-06-30,11,3.2821
2016-07-07,0.1,1.7939
2016-07-07,1,1.9134
2016-07-07,2,2.2999
2016-07-07,3,5.3904
2016-07-07,4,6.1575
2016-07-07,5,6.6209
2016-07-07,6,5.3836
2016-07-07,7,2.2907
2016-07-07,8,8.6497
2016-07-07,9,3.9709
2016-07-07,10,2.9646
2016-07-07,11,2.7512
2016-07-14,0.1,0.9328
2016-07-14,1,1.2288
2016-07-14,2,1.5934
2016-07-14,3,2.4342
2016-07-14,4,8.1271
2016-07-14,5,5.4387
2016-07-14,6,3.4516
2016-07-14,7,4.1938
2016-07-14,8,5.8739
2016-07-14,9,3.3177
2016-07-14,10,2.4789
2016-07-14,11,2.7019
2016-07-21,0.1,1.953
2016-07-21,1,2.1445
2016-07-21,2,2.4547
2016-07-21,3,5.3382
2016-07-21,4,7.1222
2016-07-21,5,7.343
2016-07-21,6,3.6187
2016-07-21,7,9.8876
2016-07-21,8,3.2301
2016-07-21,9,3.3509
2016-07-21,10,2.5582
2016-07-21,11,3.2462
2016-07-24,0.1,1.6143
2016-07-24,1,1.8122
2016-07-24,2,2.8098
2016-07-24,3,4.121
2016-07-24,4,4.963
2016-07-24,5,6.7681
2016-07-24,6,3.0775
2016-07-24,7,7.1339
2016-07-24,8,3.007
2016-07-24,9,2.4334
2016-07-24,10,2.1697
2016-07-24,11,3.8258
2016-07-28,0.1,1.6081
2016-07-28,1,1.6747
2016-07-28,2,1.8523
2016-07-28,3,4.445
2016-07-28,4,5.3519
2016-07-28,5,4.8291
2016-07-28,6,7.7497
2016-07-28,7,5.9932
2016-07-28,8,2.3806
2016-07-28,9,2.4956
2016-07-28,10,2.5027
2016-07-28,11,2.9864
2016-08-11,0.1,3.1488
2016-08-11,1,4.9426
2016-08-11,2,4.0579
2016-08-11,3,6.2756
2016-08-11,4,4.4744
2016-08-11,5,3.9236
2016-08-11,6,7.2072
2016-08-11,7,6.5035
