"DateTime","Depth","OXY_oxy"
2015-07-09,0.1,233.57875
2015-07-09,1,236.1690625
2015-07-09,2,237.516875
2015-07-09,3,193.1915625
2015-07-09,4,62.290625
2015-07-09,5,41.911875
2015-07-09,6,45.9690625
2015-07-09,7,8.301875
2015-07-09,8,2.2728125
2015-07-09,9,1.995
2015-07-09,10,1.9178125
2015-07-09,11,2.2403125
2015-07-16,0.1,236.906875
2015-07-16,1,238.14875
2015-07-16,2,210.9215625
2015-07-16,3,148.90125
2015-07-16,4,58.4715625
2015-07-16,5,27.7459375
2015-07-16,6,76.8490625
2015-07-16,7,3.88625
2015-07-16,8,2.3790625
2015-07-16,9,2.174375
2015-07-16,10,2.158125
2015-07-16,11,1.9375
2015-07-23,0.1,236.3121875
2015-07-23,1,236.2840625
2015-07-23,2,225.699375
2015-07-23,3,115.7084375
2015-07-23,4,28.376875
2015-07-23,5,23.9546875
2015-07-23,6,7.21
2015-07-23,7,2.6446875
2015-07-23,8,2.2278125
2015-07-23,9,2.096875
2015-07-23,10,1.9659375
2015-07-23,11,2.2071875
2015-07-30,0.1,182.0984375
2015-07-30,1,223.6771875
2015-07-30,2,232.7340625
2015-07-30,3,74.1453125
2015-07-30,4,8.754375
2015-07-30,5,63.6896875
2015-07-30,6,3.8996875
2015-07-30,7,2.3371875
2015-07-30,8,1.9975
2015-07-30,9,2.0128125
2015-07-30,10,2.1025
2015-07-30,11,1.945
2015-08-13,0.1,185
2015-08-13,1,198.125
2015-08-13,2,196.875
2015-08-13,3,196.5625
2015-08-13,4,165.3125
2015-08-13,5,30.3125
2015-08-13,6,22.5
2015-08-13,7,32.5
2015-08-13,8,20.9375
2015-08-13,9,21.25
2015-08-13,10,22.8125
2015-08-13,11,22.8125
2015-09-04,0.1,191.355625
2015-09-04,1,212.3365625
2015-09-04,2,198.8578125
2015-09-04,3,190.02875
2015-09-04,4,94.8809375
2015-09-04,5,11.1190625
2015-09-04,6,25.7190625
2015-09-04,7,2.99875
2015-09-04,8,2.0865625
2015-09-04,9,1.6175
2015-09-04,10,1.450625
2015-09-04,11,1.489375
2015-09-18,0.1,250.1940625
2015-09-18,1,249.5778125
2015-09-18,2,250.4875
2015-09-18,3,248.036875
2015-09-18,4,183.9196875
2015-09-18,5,85.3303125
2015-09-18,6,25.5465625
2015-09-18,7,3.893125
2015-09-18,8,3.00875
2015-09-18,9,2.3984375
2015-09-18,10,2.3040625
2015-09-18,11,2.161875
2015-10-02,0.1,243.8190625
2015-10-02,1,243.475
2015-10-02,2,243.053125
2015-10-02,3,242.8103125
2015-10-02,4,243.0234375
2015-10-02,5,241.2059375
2015-10-02,6,104.1259375
2015-10-02,7,7.7121875
2015-10-02,8,4.605625
2015-10-02,9,3.4996875
2015-10-02,10,2.920625
2015-10-02,11,2.8096875
2015-10-23,0.1,285.6396875
2015-10-23,1,285.05625
2015-10-23,2,283.6765625
2015-10-23,3,281.8325
2015-10-23,4,279.45125
2015-10-23,5,246.6259375
2015-10-23,6,227.835
2015-10-23,7,209.4271875
2015-10-23,8,97.33625
2015-10-23,9,4.5090625
2015-10-23,10,2.9659375
2015-10-23,11,2.5984375
2016-04-05,0.1,301.25
2016-04-05,1,300.9375
2016-04-05,2,301.5625
2016-04-05,3,300.3125
2016-04-05,4,298.4375
2016-04-05,5,295.46875
2016-04-05,6,281.25
2016-04-05,7,270.46875
2016-04-05,8,258.75
2016-04-05,9,247.65625
2016-04-05,10,234.53125
2016-04-05,11,230
2016-04-20,0.1,306.875
2016-04-20,1,325
2016-04-20,2,323.75
2016-04-20,3,327.5
2016-04-20,4,328.4375
2016-04-20,5,322.8125
2016-04-20,6,317.5
2016-04-20,7,298.75
2016-04-20,8,266.25
2016-04-20,9,212.5
2016-04-20,10,167.8125
2016-04-20,11,148.125
2016-05-04,0.1,273.75
2016-05-04,1,277.8125
2016-05-04,2,275.9375
2016-05-04,3,300.3125
2016-05-04,4,326.5625
2016-05-04,5,334.0625
2016-05-04,6,321.5625
2016-05-04,7,295.9375
2016-05-04,8,254.0625
2016-05-04,9,105.3125
2016-05-04,10,59.375
2016-05-04,11,47.1875
2016-05-12,0.1,203.6128125
2016-05-12,1,231.470625
2016-05-12,2,282.6253125
2016-05-12,3,292.7525
2016-05-12,4,304.9525
2016-05-12,5,328.513125
2016-05-12,6,311.8975
2016-05-12,7,232.9621875
2016-05-12,8,65.2325
2016-05-12,9,5.8215625
2016-05-12,10,3.3940625
2016-05-12,11,2.8821875
2016-05-19,0.1,287.1221875
2016-05-19,1,286.580625
2016-05-19,2,287.329375
2016-05-19,3,285.45
2016-05-19,4,285.116875
2016-05-19,5,311.3890625
2016-05-19,6,272.33375
2016-05-19,7,215.2459375
2016-05-19,8,47.836875
2016-05-19,9,5.7290625
2016-05-19,10,2.9465625
2016-05-19,11,2.8878125
2016-05-26,0.1,282.733125
2016-05-26,1,283.24625
2016-05-26,2,289.065
2016-05-26,3,285.1859375
2016-05-26,4,267.79625
2016-05-26,5,281.36125
2016-05-26,6,261.6871875
2016-05-26,7,151.4590625
2016-05-26,8,5.4146875
2016-05-26,9,2.9275
2016-05-26,10,2.6375
2016-05-26,11,2.34
2016-05-29,0.1,272.659375
2016-05-29,1,271.43125
2016-05-29,2,300.935625
2016-05-29,3,294.973125
2016-05-29,4,271.66875
2016-05-29,5,284.2525
2016-05-29,6,256.97625
2016-05-29,7,171.8175
2016-05-29,8,32.5678125
2016-05-29,9,3.80875
2016-05-29,10,3.0540625
2016-05-29,11,2.53625
2016-05-31,0.1,271.153125
2016-05-31,1,271.22
2016-05-31,2,306.506875
2016-05-31,3,297.7825
2016-05-31,4,264.6009375
2016-05-31,5,268.7134375
2016-05-31,6,227.2440625
2016-05-31,7,142.5921875
2016-05-31,8,30.7271875
2016-05-31,9,3.2146875
2016-05-31,10,2.7134375
2016-05-31,11,2.2559375
2016-06-02,0.1,266.5925
2016-06-02,1,307.7515625
2016-06-02,2,315.884375
2016-06-02,3,306.49
2016-06-02,4,279.32875
2016-06-02,5,283.81625
2016-06-02,6,235.5875
2016-06-02,7,133.3340625
2016-06-02,8,34.5021875
2016-06-02,9,2.50625
2016-06-02,10,2.26375
2016-06-02,11,1.9621875
2016-06-07,0.1,168.5571875
2016-06-07,1,205.5590625
2016-06-07,2,264.38375
2016-06-07,3,298.6178125
2016-06-07,4,254.3190625
2016-06-07,5,261.794375
2016-06-07,6,180.07875
2016-06-07,7,77.4559375
2016-06-07,8,5.8440625
2016-06-07,9,2.378125
2016-06-07,10,2.6709375
2016-06-07,11,2.0996875
2016-06-08,0.1,232.6346875
2016-06-08,1,179.1371875
2016-06-08,2,175.641875
2016-06-08,3,312.6215625
2016-06-08,4,280.2340625
2016-06-08,5,253.115
2016-06-08,6,224.494375
2016-06-08,7,96.45375
2016-06-08,8,3.9184375
2016-06-08,9,3.0746875
2016-06-08,10,2.1965625
2016-06-08,11,2
2016-06-16,0.1,250.52625
2016-06-16,1,251.214375
2016-06-16,2,252.834375
2016-06-16,3,254.0125
2016-06-16,4,266.20875
2016-06-16,5,221.108125
2016-06-16,6,157.4859375
2016-06-16,7,84.446875
2016-06-16,8,11.9459375
2016-06-16,9,3.2134375
2016-06-16,10,2.7240625
2016-06-16,11,2.4040625
2016-06-23,0.1,198.728125
2016-06-23,1,195.2609375
2016-06-23,2,244.060625
2016-06-23,3,249.5303125
2016-06-23,4,248.3559375
2016-06-23,5,207.7196875
2016-06-23,6,161.9053125
2016-06-23,7,107.6359375
2016-06-23,8,74.1753125
2016-06-23,9,4.868125
2016-06-23,10,3.175
2016-06-23,11,2.620625
2016-06-26,0.1,192.410625
