Reservoir,Site,DateTime,WaterLevel_ft,Flag_WaterLevel,notes
FCR,50,1/31/2020,0.1,1,time not recorded
FCR,50,2/29/2020 10:00,-0.1,0,
FCR,50,3/16/2020,NA,1,"water level not recorded, no time"
BVR,50,3/16/2020 11:01,-7.2,0,
FCR,50,4/4/2020 15:55,0,0,
FCR,50,4/10/2020 16:10,0,0,
FCR,50,3/16/2020,NA,1,Water level not recorded
FCR,50,3/24/2020 14:20,0,0,
FCR,50,3/30/2020 10:50,0.02,0,"No time recorded, used depths time"
FCR,50,4/17/2020 10:30,0.1,0,Cayelan took this measurement while at catwalk for eddy flux check
FCR,50,4/27/2020 11:47,NA,1,Water level not recorded
FCR,50,5/25/2020 11:50,0.3,0,
FCR,50,4/20/2020 10:04,0.15,0,
FCR,100,4/20/2020 10:04,24.8,0,
FCR,50,5/18/2020 10:59,0,0,
FCR,100,5/18/2020 10:59,0,0,
FCR,50,4/13/2020 13:17,0.7,0,
FCR,50,5/11/2020 12:52,0.1,0,
FCR,50,5/4/2020 11:27,0.2,0,
BVR,50,5/14/2020 11:57,-5.95,0,
FCR,50,6/3/2020 10:26,0.2,0,
FCR,50,6/12/2020 11:16,0.2,0,
FCR,50,6/22/2020 9:42,0.25,0,
FCR,50,6/29/2020 12:40,0.23,0,
BVR,50,7/17/2020 14:52,-4.3,0,
FCR,50,7/6/2020 12:28,0.1,0,
BVR,50,7/9/2020 12:00,-3.5,0,
FCR,50,7/13/2020 11:34,0.15,0,
FCR,50,7/20/2020 12:06,0.15,0,
CCR,50,7/22/2020 11:22,NA,1,Water level not recorded 
FCR,50,7/27/2020 12:50,0.13,0,
BVR,50,7/30/2020 12:53,-5.5,0,
BVR,50,7/2/2020 13:37,-2.9,0,
FCR,50,6/8/2020 12:48,0.2,0,
FCR,50,8/7/2020 11:40,0.1,0,"No time recorded, used cap EXO time"
FCR,50,8/3/2020 12:50,0.1,0,
BVR,50,7/23/2020 11:31,-4.9,0,
BVR,50,6/25/2020 12:48,-2.4,0,
BVR,50,6/4/2020 12:34,-3.65,0,
FCR,50,8/17/2020 10:17,0.03,0,
FCR,50,8/10/2020 13:05,NA,1,Water level not recorded
FCR,50,8/24/2020 11:58,-0.1,0,
BVR,50,8/26/2020 11:00,-6.65,0,
BVR,50,8/20/2020 9:06,-6.2,0,
FCR,50,9/2/2020 11:15,0.1,0,
BVR,50,9/3/2020 13:24,NA,1,Water level not recorded 
FCR,50,9/11/2020 10:55,-0.06,0,
BVR,50,9/16/2020 11:31,-6.7,0,
FCR,50,9/15/2020 13:40,0,0,
FCR,50,9/19/2020 14:04,0,0,
FCR,50,9/21/2020 12:11,0,0,
CCR,50,9/23/2020 12:41,NA,1,Water level not recorded
FCR,50,9/30/2020 11:30,0.2,0,
BVR,50,10/1/2020 11:48,-6.4,0,
BVR,50,10/5/2020 10:38,-10.5,0,
FCR,50,10/6/2020 12:57,0,0,
FCR,50,10/13/2020 13:30,0.2,0,
BVR,50,10/14/2020 10:01,-6.55,0,
FCR,50,10/19/2020 13:07,0.15,0,
BVR,50,10/26/2020 13:45,-6.3,0,
FCR,50,10/28/2020 12:50,0.2,0,
FCR,50,11/2/2020 14:30,0.3,0,
FCR,50,11/4/2020 11:27,0.25,0,
FCR,50,11/9/2020 11:40,0.2,0,
BVR,50,11/10/2020 11:01,-6.4,0,
FCR,50,12/2/2020 14:40,NA,1,Water level not recorded. Weir Water Level 20.05cm 
BVR,50,12/2/2020 10:43,-5.9,0,
CCR,50,7/29/2020 9:23,NA,1,Water level not recorded 
FCR,50,7/31/2020,0.21,1,"Time not recorded, on 8/3 field sheet"
BVR,50,8/6/2020 12:25,-5.9,0,
BVR,50,8/12/2020 13:55,-6.1,0,
CCR,50,8/19/2020 12:21,NA,1,Water level not recorded 
FCR,50,11/24/2020 11:27,0.25,0,
FCR,50,12/27/2020 12:00,NA,1,Water level not recorded 
