Parameter,Temp
n_all,1692
RMSE_all,3.8
PBIAS%_all,-14.9
R2_all,0.43
r.Spearman_all,0.78
NMAE_all,0.18
n_cal,1380
RMSE_cal,4.19
PBIAS%_cal,-17.3
R2_cal,0.38
r.Spearman_cal,0.74
NMAE_cal,0.2
n_val,312
RMSE_val,1.24
PBIAS%_val,-4.5
R2_val,1
r.Spearman_val,1
NMAE_val,0.08
